level,group,genre,measure,n_months,spearman_trend,p,first_month_value,last_full_month_value
creator,@CBSNews,videos,F2_controlled,9,0.367,0.3317,0.6656,0.7489
creator,@CBSNews,videos,F3_controlled,9,-0.667,0.0499,-0.4529,-0.4963
creator,@CBSNews,videos,F4_controlled,9,-0.35,0.3558,-0.1018,-0.1292
creator,@CBSNews,videos,F5_controlled,9,0.083,0.8312,0.3514,0.2924
creator,@CBSNews,videos,F6_controlled,9,-0.5,0.1705,-0.3326,-0.459
creator,@CBSNews,videos,F7_controlled,9,0.233,0.5457,1.5749,1.58
creator,@CBSNews,videos,F8_controlled,9,-0.067,0.8647,0.0713,0.0674
creator,@CBSNews,videos,F9_controlled,9,0.167,0.6682,-0.6051,-0.3663
creator,@CBSNews,videos,F10_controlled,9,0.75,0.0199,0.0827,0.2529
creator,@CBSNews,videos,F11_controlled,9,0.033,0.9322,0.26,0.3211
creator,@CBSNews,videos,F12_controlled,9,0.283,0.46,0.2065,0.1485
creator,@CBSNews,videos,curiosity_gap,9,-0.183,0.6368,0.0173,0.0092
creator,@CBSNews,videos,outrage,9,-0.717,0.0298,0.2889,0.188
creator,@CBSNews,videos,humor,9,,,0.0,0.0
creator,@FarronBalanced,streams,F1_controlled,8,0.071,0.8665,-0.1233,0.3772
creator,@FarronBalanced,streams,F2_controlled,8,-0.214,0.6103,0.1077,-0.3865
creator,@FarronBalanced,streams,F3_controlled,8,0.452,0.2604,-0.96,-0.5101
creator,@FarronBalanced,streams,F4_controlled,8,0.19,0.6514,-0.4728,-0.2923
creator,@FarronBalanced,streams,F5_controlled,8,-0.714,0.0465,-0.4296,-0.7924
creator,@FarronBalanced,streams,F6_controlled,8,0.429,0.2894,-0.2408,0.2661
creator,@FarronBalanced,streams,F7_controlled,8,-0.167,0.6932,-0.2263,-0.7017
creator,@FarronBalanced,streams,F8_controlled,8,0.667,0.071,-0.4231,0.2797
creator,@FarronBalanced,streams,F9_controlled,8,0.548,0.16,-1.433,-0.9981
creator,@FarronBalanced,streams,F10_controlled,8,-0.19,0.6514,-0.4022,-1.0374
creator,@FarronBalanced,streams,F11_controlled,8,0.119,0.7789,-1.3518,-1.3959
