word,pairs,landscape_co_mentions,landscape_avoidances,group_pairs,channel_co_mentions,timing_readings,co_mention_partners,avoidance_partners,group_partners,channel_partners,timing
state,79,4,0,1,2,1,speech (3.2x); minnesota (2.7x); election (2.2x); california (2.1x),,"trump (left 1.14, neutral 1.71, right 1.15)","fraud (1.7x, 20 ch); newsom (1.9x, 19 ch)",scotus: state leads by 1 d (+0.32)
platner,79,1,0,0,0,4,senate (14.9x),,,,strikes: platner leads by 1 d (+0.33); starmer: platner leads by 9 d (+0.31); venezuela: venezuela leads by 12 d (+0.32); dsa: dsa leads by 12 d (+0.31)
epstein files,79,2,1,1,1,1,doj (8.0x); andrew (4.9x),iran (0.22),"hearing (left 1.32, neutral 6.20, right 6.20)","arrested (2.6x, 16 ch)",alex: alex leads by 6 d (+0.31)
ceasefire,79,9,0,0,0,1,iran (5.0x); lebanon (7.7x); israel (4.1x); trump (2.2x); strikes (3.4x); deal (3.3x); strait of hormuz (2.1x); hegseth (2.7x); netanyahu (2.2x),,,,lebanon: co-move (+0.30)
china,79,3,0,1,1,1,trump (1.7x); ai (2.5x); canada (2.0x),,"netanyahu (left 0.10, right 1.38)","election (1.6x, 26 ch)",starmer: china leads by 13 d (negative) (-0.31)
shooting,79,9,2,2,0,4,ice (12.6x); minneapolis (14.3x); alex (12.9x); white house (5.1x); minnesota (3.5x); texas (3.0x); protests (2.2x); charlie kirk (3.5x); trial (2.0x),iran (0.18); trump (0.58),"canada (left 1.35, neutral 6.40, right 3.42); war (left 0.29, neutral 0.12, right 0.54)",,minneapolis: co-move (+0.30); iran: shooting leads by 3 d (+0.32); epstein: epstein leads by 12 d (+0.36); strait of hormuz: strait of hormuz leads by 6 d (negative) (-0.30)
minneapolis,79,4,2,1,0,1,ice (9.4x); shooting (14.3x); woman (10.4x); protests (4.7x),trump (0.48); iran (0.07),"alex (left 3.75, neutral 6.66, right 1.27)",,shooting: co-move (+0.30)
alex,79,3,1,1,1,1,shooting (12.9x); debate (3.6x); death (3.5x),trump (0.52),"minneapolis (left 3.75, neutral 6.66, right 1.27)","rights (3.4x, 9 ch)",epstein files: alex leads by 6 d (+0.31)
lindsey graham,79,2,0,0,0,0,death (19.9x); senate (3.0x),,,,
supreme court,79,4,1,0,0,1,rights (8.8x); case (4.6x); trump (1.7x); strikes (2.8x),iran (0.06),,,scotus: co-move (+0.66)
graham,79,3,0,1,0,2,senate (7.2x); death (12.2x); debate (3.7x),,"trump (left 0.51, neutral 0.93, right 0.91)",,dsa: dsa leads by 14 d (+0.31); venezuela: venezuela leads by 14 d (+0.31)
lindsay clancy,79,2,2,0,0,0,trial (36.9x); case (6.9x),trump (0.05); iran (0.09),,,
minnesota,79,8,1,1,0,0,fraud (22.7x); ice (5.9x); shooting (3.5x); protests (2.7x); hearing (3.1x); state (2.7x); woman (2.8x); senate (2.3x),iran (0.19),"trump (left 0.66, neutral 1.04, right 0.62)",,
