creator,genre,month,n_titles,lane,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F1_controlled,F2_controlled,F3_controlled,F4_controlled,F5_controlled,F6_controlled,F7_controlled,F8_controlled,F9_controlled,F10_controlled,F11_controlled,F12_controlled
@ABCNews,streams,2026-03,70,us_legacy_tv,1.1494534203499276,0.5486316284630327,3.7501435981525786,-0.5363897200544671,-0.8009215277979584,0.18035659388841735,0.38502668165039355,0.09165619101610134,0.21532525561553384,-0.8937282904609166,-0.6103175784698892,-0.1668186033902804,0.7938091613763401,1.1510034988595936,2.608227320684623,-0.32473304260625807,-0.21511298088060182,-0.14805285810329036,0.34666089597694416,-1.1799995876079679,-0.1853480411478383,-0.7823054628192064,0.2134544573238328,-0.5013626626292309
@ABCNews,streams,2026-04,73,us_legacy_tv,0.9342407567842349,-0.24316316455905648,3.8691040724604,-0.38239584720437,-0.7574648072889255,-0.07914439706848936,-0.07566337195616611,-0.013313731253115597,1.0838836511356824,-1.059080376778836,-1.657711061505084,-0.4673257567293043,0.13895599668969738,0.5453642168249527,2.3972023019384134,-0.06343962237087217,-0.08062255441695984,0.024914305639012393,-0.18787912496181186,-1.671626915064827,0.49551374723664854,-0.6133196981510456,-0.6696811434695672,-0.4780457713775178
@ABCNews,streams,2026-05,71,us_legacy_tv,0.9843932040227942,1.226157704517657,3.7937529840936546,-0.5607086441123983,-0.8711278225287495,0.6031530503930994,0.07504738615992991,0.30897946688345823,1.2367321906852116,-1.1477660650158974,-1.072980398191083,-0.08198973399187785,0.4743810883815057,1.9352174878635866,2.4798792166124524,-0.2940890680390945,-0.24521415916222397,0.48726024415925945,0.16975251086402954,-1.3076333401454525,0.665178823814557,-0.7816890113911682,-0.0070851003220499175,-0.23536783185785182
@ABCNews,streams,2026-06,49,us_legacy_tv,0.7282906757248019,1.1370957479469548,4.873683649815425,-0.35920494006738496,-0.780612921474287,0.3347140170796569,-0.9706250142170453,0.44966928538263784,2.0763386110333215,-1.3185754205673896,-2.891198588287058,-0.12531302350015747,-0.06514372383496396,2.3299098938266867,3.234937932835851,-0.0039054968508193846,-0.06970339027693542,0.44890262335747905,-0.4466071785345813,-2.079115391489193,1.0985392963468055,-0.6649148895990842,-1.0292032417387131,-0.15610404488328836
@ABCNews,streams,2026-07,50,us_legacy_tv,0.6899626425461985,1.1067281966803486,3.9251857684507168,-0.44452589904972595,-0.7422307501643108,0.41445213934703257,-0.7648710925676514,0.6433842108696433,1.7134880454070842,-1.165027120617862,-2.583378264899956,0.07232653044392659,-0.03379502696518052,2.122747371449656,2.382972027643804,-0.12193856274939735,-0.05867159021625519,0.31066308824075967,-0.2532818880191924,-1.5723725824482864,0.7221168924035787,-0.5708925768249893,-1.0588843320363506,0.059764826825709404
@ABCNews,streams,2026-08,73,us_legacy_tv,0.5428059171730417,1.000452578740378,3.9731367145740473,-0.28565036833311713,-0.7177993761379646,0.6165588440441326,-0.5896289247363765,0.547478167304432,1.4851802971515524,-1.1864398941763203,-2.232799662586617,-0.09024153493576528,-0.11200760610412246,1.9486469420398964,2.456646162545394,0.021117792089766902,-0.05728007765318945,0.5007411929351594,-0.22123522234541668,-1.5490945759924881,0.6417868281203007,-0.6542580276655379,-0.7046467896545014,-0.11181023785812914
@ABCNews,streams,2026-09,33,us_legacy_tv,0.8367559859765106,0.8206717502251857,3.6500154577621298,-0.44166742000612075,-0.8154397564944483,0.3750479206062408,-0.511519219520437,0.8804383648744204,2.1878783517913787,-0.9687523972925931,-2.48629302825036,-0.33110209087861037,0.018756665428812526,1.8240506703003752,2.13346191300457,-0.09722419068742326,-0.19501665076117788,0.44862378859652224,-0.004724232637996383,-1.720630961061887,1.2146948720240889,-0.4327108856554894,-0.7731252366426783,-0.30565989775894686
@ABCNews,videos,2026-01,875,us_legacy_tv,0.8965916616620151,-0.012848698064401573,-0.35542925021329475,-0.3440484389310537,-0.21337896018430452,-0.6736292585591876,2.0961294094245235,0.1771824356128161,-0.661892831053931,0.417867392328002,-0.09547304329215946,0.08754609297402931,0.801123680349248,0.2626738522539352,-0.7084181275490787,-0.1623742319190125,0.051572297491792304,-0.5993943964839947,1.5144630501214735,-0.39930429798824985,-0.5616927911370769,0.21813545068978696,0.04650120671833816,-0.04568065005771241
@ABCNews,videos,2026-02,946,us_legacy_tv,0.9513098048459444,-0.05704639881042435,-0.33061057023881346,-0.3573374268310148,-0.25863724098866536,-0.42143733233039976,2.1055640657188275,0.11228459582624414,-0.7633512370190105,0.5255622446456815,-0.10615099805288918,-0.2305442726371712,0.7738566389949906,0.1392126716790999,-0.6206314333274919,-0.17823645513487293,0.0016918203400190645,-0.47040186225625513,1.6032423099474942,-0.31826140632165034,-0.6962015398075145,0.3373230507641464,-0.009165323660802667,-0.28312401370086016
@ABCNews,videos,2026-03,907,us_legacy_tv,0.5450351850072563,-0.255962457008466,-0.2851383977366709,-0.25533209997295164,-0.14407476793648344,-0.572514916779045,1.804995152568021,0.1979097782812795,-0.6352272648955448,0.41945891735362995,-0.2784671243760552,0.20576481824083181,0.5522204291375061,-0.040759666443564435,-0.5925985658660836,-0.12266684419552663,0.07599944879849042,-0.5229434387775531,1.2975253455879294,-0.3385005303903186,-0.5193194539993155,0.10795042436281864,-0.1034390747170828,-0.20941389269014465
