term,n_titles,n_channels,is_phrase,phrase_words
private,349,84,False,
surges,349,58,False,
thomas,349,100,False,
tim walz,349,70,True,tim|walz
trust,349,94,False,
community,348,75,False,
gun,348,73,False,
independence,348,48,False,
rob,348,53,False,
torches,348,52,False,
defend,347,96,False,
migrants,347,52,False,
murder trial,347,36,True,murder|trial
strategic,347,40,False,
arms,346,51,False,
hidden,346,97,False,
jeffries,346,64,False,
migrant,346,62,False,
australia,345,37,False,
stay,345,87,False,
unhinged,345,99,False,
armed,344,59,False,
enters,344,52,False,
erika kirk,344,73,True,erika|kirk
congressman,343,90,False,
faith,343,81,False,
firing,343,74,False,
powers,343,57,False,
shift,343,74,False,
boom,342,52,False,
