term,n_titles,n_channels,is_phrase,phrase_words
makes,1828,139,False,
national,1806,110,False,
dead,1803,152,False,
time,1785,182,False,
netanyahu,1776,124,False,
drone,1770,72,False,
fraud,1768,151,False,
man,1762,165,False,
canada,1752,134,False,
fight,1750,165,False,
guthrie,1734,54,False,
threatens,1734,124,False,
faces,1730,114,False,
rubio,1714,105,False,
lebanon,1706,78,False,
dems,1698,117,False,
protests,1693,120,False,
slams,1687,80,False,
east,1682,100,False,
bombshell,1677,106,False,
party,1676,170,False,
leaders,1666,113,False,
graham,1662,163,False,
face,1657,138,False,
drops,1655,127,False,
fbi,1651,134,False,
shock,1640,112,False,
trial,1639,119,False,
truth,1639,193,False,
africa,1635,58,False,
texas,1634,124,False,
breaks,1628,139,False,
exposes,1624,151,False,
tehran,1620,46,False,
prices,1619,102,False,
th,1617,143,False,
middle,1615,118,False,
kirk,1612,137,False,
women,1607,154,False,
takes,1598,152,False,
going,1596,178,False,
pakistan,1594,49,False,
years,1586,163,False,
real,1582,208,False,
know,1554,169,False,
details,1542,83,False,
win,1542,164,False,
troops,1541,98,False,
launches,1532,82,False,
jd,1525,134,False,
starmer,1525,66,False,
right,1524,195,False,
judge,1521,106,False,
south,1508,95,False,
talk,1504,122,False,
murder,1502,125,False,
jd vance,1483,130,True,jd|vance
can't,1472,195,False,
middle east,1471,95,True,middle|east
maduro,1467,134,False,
questions,1463,121,False,
eu,1462,56,False,
interview,1461,165,False,
shocking,1457,125,False,
briefing,1455,45,False,
don't,1451,178,False,
update,1437,113,False,
government,1432,148,False,
dhs,1426,86,False,
family,1426,144,False,
near,1408,66,False,
red,1407,131,False,
xi,1396,73,False,
epstein files,1395,148,True,epstein|files
secretary,1393,83,False,
stop,1391,179,False,
california,1383,138,False,
missiles,1383,57,False,
fox,1371,98,False,
control,1370,152,False,
federal,1348,99,False,
chaos,1344,136,False,
shows,1341,116,False,
home,1338,132,False,
race,1337,148,False,
tensions,1335,50,False,
press conference,1324,65,True,press|conference
left,1322,181,False,
like,1322,157,False,
clancy,1316,102,False,
caught,1311,145,False,
charlie,1310,130,False,
let,1307,139,False,
economy,1305,132,False,
say,1302,123,False,
gaza,1300,98,False,
sen,1296,65,False,
act,1291,144,False,
story,1291,158,False,
conflict,1289,66,False,
economic,1288,114,False,
erupts,1287,90,False,
sports,1284,82,False,
year,1271,151,False,
nancy,1269,71,False,
visit,1269,79,False,
nyc,1264,114,False,
disaster,1258,143,False,
foreign,1256,100,False,
huge,1256,120,False,
mark,1255,117,False,
political,1255,151,False,
life,1250,168,False,
elections,1244,132,False,
woman,1243,128,False,
won't,1243,165,False,
hold,1239,85,False,
republican,1235,121,False,
border,1233,91,False,
energy,1233,96,False,
loses,1231,133,False,
targets,1228,88,False,
issues,1225,93,False,
need,1223,134,False,
reports,1221,62,False,
tariffs,1221,98,False,
dr,1220,138,False,
delhi,1218,14,False,
make,1217,165,False,
viral,1216,122,False,
pentagon,1212,98,False,
key,1211,87,False,
panics,1211,73,False,
want,1211,185,False,
latest,1210,121,False,
health,1209,116,False,
dem,1208,73,False,
force,1205,116,False,
democrat,1204,127,False,
army,1196,86,False,
joe,1195,147,False,
got,1193,176,False,
york,1192,117,False,
blanche,1188,73,False,
meets,1185,68,False,
insane,1182,144,False,
morning,1181,45,False,
missing,1180,110,False,
officials,1177,81,False,
saudi,1175,69,False,
gulf,1172,61,False,
wants,1168,182,False,
fed,1166,85,False,
finally,1165,163,False,
public,1162,121,False,
khamenei,1161,50,False,
gas,1159,101,False,
protesters,1158,79,False,
indian,1157,43,False,
rally,1156,90,False,
operation,1154,102,False,
bad,1150,175,False,
blasts,1150,69,False,
bondi,1150,124,False,
charlie kirk,1150,118,True,charlie|kirk
lindsay,1147,110,False,
alex,1143,152,False,
meet,1142,80,False,
billion,1141,114,False,
blockade,1140,95,False,
investigation,1139,119,False,
fifa,1137,70,False,
lindsey,1136,133,False,
save,1136,162,False,
event,1132,108,False,
announces,1130,90,False,
demands,1123,108,False,
forces,1120,93,False,
nation,1116,79,False,
tech,1115,112,False,
open,1114,112,False,
push,1113,89,False,
historic,1110,93,False,
explains,1109,139,False,
history,1102,166,False,
lindsay clancy,1102,95,True,lindsay|clancy
mayor,1102,126,False,
really,1101,180,False,
asia,1097,34,False,
vote,1096,128,False,
moment,1092,115,False,
arrested,1085,146,False,
center,1080,111,False,
defense,1074,111,False,
gives,1073,117,False,
kyiv,1073,26,False,
panic,1072,116,False,
action,1071,77,False,
mike,1070,120,False,
noem,1068,113,False,
data,1064,133,False,
collapse,1063,138,False,
john,1063,131,False,
ceo,1062,87,False,
delivers,1062,72,False,
support,1058,125,False,
final,1057,113,False,
mass,1056,135,False,
primary,1055,93,False,
washington,1055,110,False,
nancy guthrie,1053,39,True,nancy|guthrie
artemis,1051,53,False,
musk,1047,125,False,
spain,1045,77,False,
law,1044,129,False,
official,1043,104,False,
regime,1041,121,False,
city,1039,97,False,
future,1037,138,False,
addresses,1036,49,False,
prime,1035,66,False,
good,1032,154,False,
drones,1030,64,False,
message,1030,116,False,
general,1027,97,False,
immigration,1025,115,False,
zelensky,1023,36,False,
cuba,1022,135,False,
voters,1021,129,False,
team,1011,111,False,
crash,1009,106,False,
clash,1008,67,False,
midterms,1008,116,False,
host,1004,89,False,
ii,1001,53,False,
fires,990,107,False,
expert,989,93,False,
change,988,159,False,
country,987,144,False,
jesse,986,80,False,
france,985,54,False,
king,985,127,False,
biggest,983,152,False,
arrest,982,123,False,
allies,981,89,False,
hill,980,61,False,
victory,980,119,False,
scandal,978,145,False,
turns,978,119,False,
agents,975,100,False,
steve,975,94,False,
democratic,972,113,False,
order,970,117,False,
special,969,101,False,
set,968,100,False,
sparks,966,79,False,
emergency,964,95,False,
school,957,112,False,
spotlight,957,39,False,
getting,954,168,False,
tim,953,134,False,
help,946,123,False,
andrew,944,153,False,
high,940,93,False,
threats,940,102,False,
remarks,939,40,False,
record,935,84,False,
revealed,933,108,False,
union,933,132,False,
artemis ii,931,44,True,artemis|ii
mission,931,73,False,
defence,930,20,False,
illegal,929,130,False,
ties,924,77,False,
thousands,922,75,False,
elon,921,139,False,
alleged,915,65,False,
killing,913,114,False,
men,912,135,False,
million,912,121,False,
funding,909,97,False,
usa,909,98,False,
tucker,908,127,False,
tonight,906,60,False,
states,905,108,False,
address,904,88,False,
storm,903,70,False,
uae,897,54,False,
week,895,93,False,
base,894,84,False,
explodes,887,89,False,
lies,886,149,False,
melania,886,93,False,
hasan,884,132,False,
fauci,881,114,False,
navy,881,73,False,
turn,880,130,False,
irgc,878,29,False,
ship,877,72,False,
biden,876,119,False,
worse,875,163,False,
james,873,133,False,
obama,871,127,False,
response,871,115,False,
admits,868,125,False,
social,868,124,False,
michael,867,129,False,
rise,866,100,False,
lindsey graham,865,127,True,lindsey|graham
suspect,862,47,False,
market,860,84,False,
senator,859,108,False,
fans,853,93,False,
scott,848,117,False,
governor,846,108,False,
pressure,845,71,False,
announcement,842,66,False,
brutal,842,105,False,
politics,840,139,False,
vows,840,60,False,
search,839,58,False,
shot,838,93,False,
continues,836,84,False,
bannon,834,39,False,
post,834,121,False,
japan,829,61,False,
lost,829,168,False,
wins,829,123,False,
backfires,827,80,False,
florida,827,103,False,
wrong,827,184,False,
way,825,145,False,
coming,824,154,False,
bomb,822,97,False,
money,822,153,False,
plans,821,108,False,
they're,819,143,False,
demand,815,80,False,
doesn't,815,150,False,
pete,815,98,False,
return,815,87,False,
dinner,814,85,False,
macron,813,36,False,
away,812,137,False,
plot,812,114,False,
battle,811,95,False,
claim,811,94,False,
children,810,112,False,
shutdown,810,85,False,
rejects,809,92,False,
chinese,808,80,False,
despite,807,61,False,
nasa,805,49,False,
strategy,805,98,False,
leavitt,804,68,False,
airport,802,75,False,
legal,799,99,False,
rescue,799,64,False,
office,798,98,False,
question,796,127,False,
brian,794,67,False,
days,794,97,False,
