creator,lane,n_titles,score_shuffled,score_pass1,change,side_shuffled,side_pass1
@TheDamageReport,left_commentary,50,-0.64,-0.7,0.05999999999999994,left,left
@DemocracyNow,independent_digital_news,50,-0.52,-0.58,0.05999999999999994,left,left
@BadEmpanadaLive,streamer_reaction,50,-0.14,-0.2,0.06,left,left
@destiny,streamer_reaction,50,-0.2,-0.26,0.06,left,left
@thehill,us_press_print_digital,50,0.04,-0.02,0.06,neither / unclear,neither / unclear
@PoliticsGirl,left_commentary,50,-0.18,-0.24,0.06,left,left
@SydneyWatson,right_commentary,50,0.42,0.36,0.06,right,right
@AlexStein99,humour_satire,50,0.22,0.16,0.06,right,right
@Vaush,streamer_reaction,50,-0.3,-0.36,0.06,left,left
@StatusCoup,independent_digital_news,50,-0.72,-0.78,0.06000000000000005,left,left
@BreakThroughNews,independent_digital_news,50,-0.72,-0.78,0.06000000000000005,left,left
@AnaEscobarShow,right_commentary,16,0.125,0.0625,0.0625,right,right
@NYTOpinion,us_press_print_digital,16,-0.1875,-0.25,0.0625,left,left
@NickShirley,right_commentary,16,0.5,0.4375,0.0625,right,right
@evanjmez,left_commentary,16,-0.5,-0.5625,0.0625,left,left
@RekietaLaw,legal_institutional,16,0.1875,0.125,0.0625,right,right
@msnow,us_legacy_tv,50,-0.54,-0.62,0.07999999999999996,left,left
@RobertGouveiaEsq,legal_institutional,50,0.86,0.78,0.07999999999999996,right,right
@BadFaithPodcast,interview_podcast,50,-0.54,-0.62,0.07999999999999996,left,left
@MikeFromPA,streamer_reaction,50,-0.28,-0.36,0.07999999999999996,left,left
@marklevinshow,right_commentary,50,0.58,0.5,0.07999999999999996,right,right
@TheHumanistReport,left_commentary,50,-0.78,-0.86,0.07999999999999996,left,left
@X22Report-y5y,right_commentary,50,0.96,0.88,0.07999999999999996,right,right
@TheLincolnProject,centrist_heterodox,50,-0.56,-0.64,0.07999999999999996,left,left
@TimcastNews,right_commentary,50,0.36,0.28,0.07999999999999996,right,right
@TheRealTabithaSpeaks,left_commentary,50,-0.14,-0.22,0.07999999999999999,left,left
@TheVaushPit,streamer_reaction,50,-0.1,-0.18,0.07999999999999999,left,left
@DestinyDGGClips,streamer_reaction,50,0.1,0.02,0.08,right,neither / unclear
@TheYoungTurks,left_commentary,50,-0.26,-0.34,0.08000000000000002,left,left
@therationalnational,left_commentary,50,-0.42,-0.5,0.08000000000000002,left,left
@DailyDenims,streamer_reaction,50,-0.44,-0.52,0.08000000000000002,left,left
@harryjsisson,left_commentary,50,-0.72,-0.8,0.08000000000000007,left,left
@MeidasTouch,left_commentary,50,-0.84,-0.92,0.08000000000000007,left,left
@ponderingpolitics,left_commentary,50,-0.7,-0.78,0.08000000000000007,left,left
@BlaireWhiteX,right_commentary,11,0.7272727272727273,0.6363636363636364,0.09090909090909094,right,right
@MegynKelly,right_commentary,50,0.38,0.28,0.09999999999999998,right,right
@destinyhqclips,streamer_reaction,50,-0.02,-0.12,0.09999999999999999,neither / unclear,left
@PiscoLitty,streamer_reaction,50,-0.3,-0.4,0.10000000000000003,left,left
@RealDanBongino,right_commentary,50,0.34,0.24,0.10000000000000003,right,right
@TomiLahrenIsFearless,right_commentary,50,0.54,0.44,0.10000000000000003,right,right
@DoubleDownNews,independent_digital_news,50,-0.58,-0.68,0.10000000000000009,left,left
@FarronBalanced,left_commentary,50,-0.82,-0.92,0.10000000000000009,left,left
@Lunaoi,left_commentary,9,-0.7777777777777778,-0.8888888888888888,0.11111111111111105,left,left
@lizwheeler,right_commentary,50,0.46,0.34,0.12,right,right
@Xanderhal,streamer_reaction,50,-0.5,-0.62,0.12,left,left
@JackCocchiarellaShow,left_commentary,50,-0.8,-0.92,0.12,left,left
@lonerboxlive,streamer_reaction,50,0.06,-0.06,0.12,right,left
@JacksonHinkleOfficial,right_commentary,50,-0.04,-0.16,0.12,neither / unclear,left
@LeverNews,independent_digital_news,50,-0.52,-0.64,0.12,left,left
@MrTariqNasheed,left_commentary,50,0.18,0.06,0.12,right,right
@HasanAbi,streamer_reaction,50,-0.24,-0.36,0.12,left,left
@PartOfTheProblem,right_commentary,50,0.1,-0.02,0.12000000000000001,right,neither / unclear
@nousnetwork,explainer_geopolitics,50,-0.22,-0.34,0.12000000000000002,left,left
@ColeHastings,centrist_heterodox,16,0.125,0.0,0.125,right,neither / unclear
@SecondThought,left_commentary,16,-0.3125,-0.4375,0.125,left,left
@thomhartmann,left_commentary,50,-0.56,-0.7,0.1399999999999999,left,left
@LukeBeasley,left_commentary,50,-0.56,-0.7,0.1399999999999999,left,left
@Tim_Black,left_commentary,50,0.12,-0.02,0.13999999999999999,right,neither / unclear
https://rumble.com/c/BannonsWarRoom,right_commentary,50,0.68,0.54,0.14,right,right
@GeopoliticalEconomyReport,independent_digital_news,50,-0.6,-0.74,0.14,left,left
@jlptalk,right_commentary,50,0.64,0.5,0.14,right,right
@SMN,humour_satire,50,-0.6,-0.74,0.14,left,left
@johnnyharris,explainer_geopolitics,13,-0.15384615384615385,-0.3076923076923077,0.15384615384615385,left,left
@LeejaMiller,legal_institutional,50,-0.42,-0.58,0.15999999999999998,left,left
@RileyGaines,right_commentary,50,0.6,0.44,0.15999999999999998,right,right
@thegrayzone7996,independent_digital_news,50,-0.62,-0.78,0.16000000000000003,left,left
@thedavidpakmanshow,left_commentary,50,-0.58,-0.74,0.16000000000000003,left,left
@PragerU,right_commentary,50,0.66,0.5,0.16000000000000003,right,right
@turningpointusa,right_commentary,50,0.72,0.54,0.17999999999999994,right,right
@TheSerfTimes,streamer_reaction,50,-0.3,-0.48,0.18,left,left
https://rumble.com/c/GGreenwald,independent_digital_news,50,-0.28,-0.46,0.18,left,left
@YaBoiHakim,left_commentary,16,-0.6875,-0.875,0.1875,left,left
@PhillipScottPodcast,left_commentary,16,0.25,0.0625,0.1875,right,right
@OwenJonesTalks,left_commentary,50,-0.5,-0.7,0.19999999999999996,left,left
@ajplus,wire_international,50,-0.32,-0.52,0.2,left,left
@bushrakhanum,wire_international,16,0.0,-0.25,0.25,neither / unclear,left
@revleftradio,interview_podcast,16,-0.625,-0.875,0.25,left,left
@usefulidiots,interview_podcast,50,-0.54,-0.8,0.26,left,left
@DannyHaiphongYT,left_commentary,50,-0.66,-0.92,0.26,left,left
@NickCruseRBN,left_commentary,16,-0.0625,-0.5625,0.5,left,left
