term_a,term_b,observed,expected_strat,lift_strat,z_cmh,q_cmh,channels,weight
guthrie,kidnapping,30.00000,10.41213,2.88126,9.37762,0.00000,12.00000,1.52670
america,th anniversary,21.00000,3.94855,5.31841,9.36833,0.00000,9.00000,2.41100
case,evidence,35.00000,9.02286,3.87904,9.36333,0.00000,14.00000,1.95570
deal,us-iran,26.00000,5.64800,4.60340,9.34374,0.00000,8.00000,2.20270
shooting,police,36.00000,9.51394,3.78392,9.34189,0.00000,12.00000,1.91988
kirk,owens,61.00000,23.92340,2.54980,9.34114,0.00000,24.00000,1.35039
owens,wilson,27.00000,7.40753,3.64494,9.33691,0.00000,15.00000,1.86589
fbi,special,21.00000,3.71116,5.65861,9.33469,0.00000,6.00000,2.50045
trans,wnba,24.00000,5.23548,4.58411,9.30946,0.00000,13.00000,2.19664
speech,delivers,53.00000,18.83431,2.81401,9.28765,0.00000,7.00000,1.49263
fbi,fulton,20.00000,3.70416,5.39933,9.28223,0.00000,6.00000,2.43278
doj,criminal,31.00000,7.38193,4.19944,9.27459,0.00000,12.00000,2.07020
graham,maine,22.00000,4.22923,5.20189,9.26107,0.00000,12.00000,2.37904
save,id,23.00000,4.64830,4.94805,9.25715,0.00000,12.00000,2.30686
trump,lake ontario,20.00000,4.07406,4.90910,9.22499,0.00000,11.00000,2.29546
president,meets,28.00000,7.09818,3.94467,9.22057,0.00000,5.00000,1.97991
major,victory,26.00000,5.70042,4.56107,9.21713,0.00000,7.00000,2.18937
democrats,want,43.00000,12.47621,3.44656,9.18510,0.00000,18.00000,1.78516
minnesota,tom homan,21.00000,3.95589,5.30855,9.18251,0.00000,11.00000,2.40832
election,ballots,29.00000,6.92743,4.18626,9.18231,0.00000,12.00000,2.06566
case,charlie,50.00000,17.48272,2.85997,9.18079,0.00000,18.00000,1.51600
nancy guthrie,search,33.00000,9.70457,3.40046,9.17315,0.00000,8.00000,1.76573
house,karoline leavitt,28.00000,6.43133,4.35369,9.16248,0.00000,7.00000,2.12224
case,karmelo anthony,36.00000,11.29245,3.18797,9.16032,0.00000,15.00000,1.67264
fbi,investigation,31.00000,7.44872,4.16179,9.14078,0.00000,17.00000,2.05720
iran,sanctions,31.00000,8.36177,3.70735,9.13178,0.00000,7.00000,1.89039
church,anti-ice,28.00000,6.79404,4.12126,9.12833,0.00000,12.00000,2.04309
house,karoline,28.00000,6.46050,4.33403,9.12824,0.00000,7.00000,2.11571
charlie kirk,tyler,59.00000,24.54320,2.40392,9.12420,0.00000,21.00000,1.26539
event,hosts,29.00000,7.01366,4.13479,9.12168,0.00000,5.00000,2.04781
iran,protests,63.00000,23.51118,2.67958,9.10809,0.00000,17.00000,1.42200
iran,strategy,66.00000,26.97536,2.44668,9.10672,0.00000,16.00000,1.29082
shooting,sparks,21.00000,3.89327,5.39392,9.10247,0.00000,9.00000,2.43133
vance,delivers,41.00000,12.04298,3.40447,9.09733,0.00000,8.00000,1.76743
