word,balanced_share_of_titles,creators_using,raw_pooled_share_of_titles,raw_titles,rank_balanced,rank_raw
tehran,0.001255763958274983,43,0.0052117478734501855,1264,378,170
vantage,0.0012508926347073888,1,0.011780034552568971,2857,379,31
near,0.0012433422480583177,65,0.004918999377394043,1193,380,192
alleged,0.0012119406018675912,63,0.0034140247145702162,828,381,360
newsnation,0.0011720277359315743,7,0.006485822314032549,1573,382,104
visit,0.0011643024255799887,69,0.003504735516165077,850,383,348
indian,0.0010901737851424522,40,0.003426394369333152,831,384,358
zelensky,0.0010184264654565108,34,0.0036614178098289276,888,385,326
pakistan,0.000992094410890664,47,0.00495610834168285,1202,386,188
khamenei,0.000962444665730382,42,0.003677910682846175,892,387,323
clash,0.0009379984319038896,59,0.003191370928837376,774,388,395
tensions,0.0008666618150416707,47,0.004255161238449835,1032,389,250
tonight,0.0008641656353416949,50,0.0036655410280832393,889,390,325
modi,0.0007982552671154705,24,0.006312647147351451,1531,391,113
suspect,0.0007871778707290801,43,0.003224356674871871,782,392,389
irgc,0.0006855897782457412,27,0.003306821039958108,802,393,372
broadcast,0.0006672875792333945,30,0.0032119870201089353,779,394,392
balance,0.0006197643417574115,27,0.003199617365346,776,395,394
kyiv,0.0005769940790094706,26,0.003937673432867822,955,396,289
reuters,0.0005679679037550579,7,0.004234545147178276,1027,397,252
sharma,0.0004100360703738779,4,0.003962412742393693,961,398,285
palki,0.00035070528540448665,1,0.0033026978217037964,801,399,375
cm,0.0003023308843240322,5,0.0034181479328245284,829,400,359
