creator,genre,predictor,coef_per_sd,se_hc3,p,n,r2,r2_adj,n_topic_dummies,group,organisation,clipper,subscribers
@AfterPartyEmily,videos,F8,-0.0415954210724232,0.06228575939028267,0.5042511096304219,410,0.19292422891700023,0.08813814814103071,23,right,Emily Jashinsky,False,145000.0
@AfterPartyEmily,videos,F9,-0.010725886884663055,0.06447558938270241,0.8678769723884696,410,0.19292422891700023,0.08813814814103071,23,right,Emily Jashinsky,False,145000.0
@AfterPartyEmily,videos,F10,-0.0033441923371442805,0.06379964305579941,0.9581963481790107,410,0.19292422891700023,0.08813814814103071,23,right,Emily Jashinsky,False,145000.0
@AfterPartyEmily,videos,F11,0.06681708954769083,0.0737048467013348,0.3646450943022186,410,0.19292422891700023,0.08813814814103071,23,right,Emily Jashinsky,False,145000.0
@AfterPartyEmily,videos,F12,-0.12944317754031118,0.0718052555260935,0.07143568488185806,410,0.19292422891700023,0.08813814814103071,23,right,Emily Jashinsky,False,145000.0
@AfterPartyEmily,videos,curiosity_gap,0.04467183018963711,0.03979404566443923,0.261617724296316,410,0.19292422891700023,0.08813814814103071,23,right,Emily Jashinsky,False,145000.0
@AfterPartyEmily,videos,outrage,0.02626027871880611,0.06122582002462252,0.6679897655533344,410,0.19292422891700023,0.08813814814103071,23,right,Emily Jashinsky,False,145000.0
@AfterPartyEmily,videos,humor,-0.10035884095567199,2.5399142459479487,0.9684816372882198,410,0.19292422891700023,0.08813814814103071,23,right,Emily Jashinsky,False,145000.0
@AfterPartyEmily,videos,n_tokens,-0.06787080150808078,0.09769612752204937,0.4872349762368702,410,0.19292422891700023,0.08813814814103071,23,right,Emily Jashinsky,False,145000.0
@AndWeKnowOfficial-o9b,videos,F1,-0.07147553131546558,0.05754687275520041,0.21422171769563736,185,0.6770727748584655,0.6166541327352106,6,right,And We Know,False,16100.0
@AndWeKnowOfficial-o9b,videos,F2,0.06641811798597325,0.0474270596992443,0.16138559637018357,185,0.6770727748584655,0.6166541327352106,6,right,And We Know,False,16100.0
@AndWeKnowOfficial-o9b,videos,F3,-0.001591198059454374,0.04308395099270036,0.97053882543466,185,0.6770727748584655,0.6166541327352106,6,right,And We Know,False,16100.0
@AndWeKnowOfficial-o9b,videos,F4,0.07331993206122647,0.045955495956468924,0.1106104948307063,185,0.6770727748584655,0.6166541327352106,6,right,And We Know,False,16100.0
@AndWeKnowOfficial-o9b,videos,F5,-0.05050867935555042,0.04507240889109067,0.26245308238312093,185,0.6770727748584655,0.6166541327352106,6,right,And We Know,False,16100.0
@AndWeKnowOfficial-o9b,videos,F6,-0.025915458178690898,0.04922827394979447,0.5985864011615598,185,0.6770727748584655,0.6166541327352106,6,right,And We Know,False,16100.0
@AndWeKnowOfficial-o9b,videos,F7,-0.009801349265753656,0.03814612418572453,0.7972233890236373,185,0.6770727748584655,0.6166541327352106,6,right,And We Know,False,16100.0
@AndWeKnowOfficial-o9b,videos,F8,-0.018745839537213232,0.04698731921693968,0.6899261488612669,185,0.6770727748584655,0.6166541327352106,6,right,And We Know,False,16100.0
@AndWeKnowOfficial-o9b,videos,F9,0.03126476991329852,0.04235851413614074,0.460454391986995,185,0.6770727748584655,0.6166541327352106,6,right,And We Know,False,16100.0
@AndWeKnowOfficial-o9b,videos,F10,0.022201995432866384,0.05786054702021995,0.7011892372557925,185,0.6770727748584655,0.6166541327352106,6,right,And We Know,False,16100.0
@AndWeKnowOfficial-o9b,videos,F11,0.07979485429889355,0.06267448686539982,0.2029601132203993,185,0.6770727748584655,0.6166541327352106,6,right,And We Know,False,16100.0
@AndWeKnowOfficial-o9b,videos,F12,-0.042787352724807715,0.05334714503461639,0.42252105373812776,185,0.6770727748584655,0.6166541327352106,6,right,And We Know,False,16100.0
@AndWeKnowOfficial-o9b,videos,curiosity_gap,-0.00802759531614039,0.03881091681113761,0.8361359171837417,185,0.6770727748584655,0.6166541327352106,6,right,And We Know,False,16100.0
@AndWeKnowOfficial-o9b,videos,outrage,0.026833925356362087,0.035433405482142466,0.4488666452601149,185,0.6770727748584655,0.6166541327352106,6,right,And We Know,False,16100.0
@AndWeKnowOfficial-o9b,videos,n_tokens,-0.010939901330787039,0.0337826237350847,0.7460650773838235,185,0.6770727748584655,0.6166541327352106,6,right,And We Know,False,16100.0
