left_creator,right_creator,distance,distance_percentile_all_pairs
@PTLRadioShow,@AnthonyBrianLogan,2.0170826733141447,2.7936507936507935
@franifio,@JustPearlyThings,2.0176371953852197,2.8015873015873014
@PoliticsJOE,@XAVIAER,2.0185367880061564,2.8174603174603177
@Vaush,@bbrettcooper,2.0198113918632754,2.821428571428571
@Politicon,@BenShapiro,2.022248363899952,2.8412698412698414
@TheLincolnProject,@XAVIAER,2.023198503733145,2.845238095238095
@chriscuomo,@theisabelbrown,2.0235085091782,2.8492063492063493
@TheDonLemonShow,@RileyGaines,2.0289048912319108,2.884920634920635
@TheDonLemonShow,@AndrewKlavan,2.0301569135794835,2.892857142857143
@RebelHQ,@JesseKellyDC,2.0328890092618366,2.908730158730159
@RestPoliticsUS,@MrTariqNasheed,2.036545879366676,2.9365079365079363
@FarronBalanced,@AlexStein99,2.0406204304949007,2.9603174603174605
@SMN,@ChadPrather1,2.0453212665144056,2.984126984126984
@thomhartmann,@GrahamAllen,2.046188917024376,2.988095238095238
@TheMajorityReport,@fightbackpodcast,2.0491197153156473,3.003968253968254
@TheMichaelCohenShow,@JillianMichaels,2.05147812438851,3.01984126984127
@TheJoyReidShow,@fightbackpodcast,2.051542408393093,3.0238095238095237
@franifio,@theisabelbrown,2.0516700749833565,3.0277777777777777
@TheDonLemonShow,@MichaelKnowles,2.0531932499774506,3.0476190476190474
@TheLincolnProject,@SaltyCracker,2.054044284270553,3.0555555555555554
@DemocracyNow,@MLChristiansen,2.0565182890231375,3.0634920634920637
@DropSiteNews,@MLChristiansen,2.057035648244224,3.0714285714285716
@OwenJonesTalks,@JesseKellyDC,2.0581305888130563,3.0833333333333335
@TheJoyReidShow,@marklevinshow,2.058349964469372,3.087301587301587
@TheDonLemonShow,@XAVIAER,2.059413194662553,3.0952380952380953
@OwenJonesTalks,@fightbackpodcast,2.0605757016179553,3.115079365079365
@dollemore,@oann,2.0613147633323865,3.119047619047619
@samharrisorg,@RealDanBongino,2.0622628784746313,3.123015873015873
@samharrisorg,@MrTariqNasheed,2.063256766902564,3.134920634920635
@marclamonthillnetwork,@clayandbuck,2.065052761766784,3.1507936507936507
@BadEmpanadaLive,@TheAmalaEkpunobi,2.066145234208782,3.1587301587301586
@TheYoungTurks,@marklevinshow,2.0668873787228237,3.166666666666667
@TheMichaelCohenShow,@RealAmericasVoice,2.067215042057506,3.182539682539683
@PTLRadioShow,@clayandbuck,2.068597224342836,3.194444444444444
@DropSiteNews,@chicksonright,2.0691542931660774,3.198412698412698
@TheDonLemonShow,@GrahamAllen,2.069186363318404,3.2023809523809526
@TheDamageReport,@chicksonright,2.06932276444839,3.2063492063492065
@Xanderhal,@StevenCrowder,2.070035322921962,3.2103174603174605
@PoliticsJOE,@fightbackpodcast,2.070207122782995,3.214285714285714
@TheYoungTurks,@RealDanBongino,2.070826204779487,3.218253968253968
@therationalnational,@nypost,2.0708685844821404,3.2222222222222223
@therationalnational,@GrahamAllen,2.071340565933539,3.2301587301587302
@TheYoungTurks,@Styxhexenhammer666,2.071612850636993,3.2341269841269846
@Forthepeoplepodcast305,@winston_marshall,2.076352820441847,3.265873015873016
@OwenReport,@MichaelKnowles,2.0786665028672076,3.2857142857142856
@podsaveamerica,@SaltyCracker,2.0825860817826185,3.3055555555555554
@TheDonLemonShow,@JustPearlyThings,2.083100959402182,3.3134920634920637
@TheJoyReidShow,@nypost,2.083126089608798,3.3174603174603177
@BreakThroughNews,@HangOutwithSeanHannity,2.0836052496545174,3.325396825396825
@TheDonLemonShow,@TheAdamCarollaShow1,2.0839190693379996,3.329365079365079
@RebelHQ,@GrahamAllen,2.0852437585717003,3.3412698412698414
@marclamonthillnetwork,@MLChristiansen,2.085908075172969,3.349206349206349
@LegalEagle,@StevenCrowder,2.0878771961859597,3.3650793650793656
@podsaveamerica,@GrahamAllen,2.090830366438608,3.3849206349206353
@thedavidpakmanshow,@JustPearlyThings,2.091497404947852,3.392857142857143
@MeidasTouch,@TheOfficerTatum,2.0919516729166814,3.3968253968253967
@TheJoyReidShow,@RileyGaines,2.0931765691927495,3.4126984126984126
@Xanderhal,@HangOutwithSeanHannity,2.0938526069153585,3.4166666666666665
@NovaraMedia,@RileyGaines,2.0957514471752536,3.428571428571429
@TheMichaelCohenShow,@OfficialSaharTV,2.0984081185443886,3.456349206349206
@GlennKirschner2,@AnthonyBrianLogan,2.100071553334006,3.4642857142857144
@NYTPodcasts,@BenShapiro,2.102669893114167,3.484126984126984
@LegalEagle,@BenShapiro,2.1026914515133224,3.488095238095238
@cafedotcom,@MegynKelly,2.1034393807496974,3.5000000000000004
@RestPoliticsUS,@AndrewKlavan,2.1069772356444987,3.5238095238095237
@deanwithrs,@TimcastNews,2.108146134199234,3.5357142857142856
@BadEmpanadaLive,@GrahamAllen,2.108456118497114,3.5476190476190474
