a,b,series,lag_days,ccf_residual,ccf_prewhitened,band
epstein,israel,channels,-10,-0.2071,-0.1217,0.1227
epstein,israel,channels,-9,-0.1682,-0.0725,0.1227
epstein,israel,channels,-8,-0.1195,0.0245,0.1227
epstein,israel,channels,-7,-0.1462,-0.0957,0.1227
epstein,israel,channels,-6,-0.0831,-0.0130,0.1227
epstein,israel,channels,-5,-0.0539,-0.0257,0.1227
epstein,israel,channels,-4,0.0264,0.1058,0.1227
epstein,israel,channels,-3,-0.0350,-0.0145,0.1227
epstein,israel,channels,-2,-0.0556,0.0185,0.1227
epstein,israel,channels,-1,-0.1401,-0.0840,0.1227
epstein,israel,channels,0,-0.1552,-0.0829,0.1227
epstein,israel,channels,1,-0.0988,0.0234,0.1227
epstein,israel,channels,2,-0.1447,-0.1107,0.1227
epstein,israel,channels,3,-0.0782,-0.0131,0.1227
epstein,israel,channels,4,-0.0268,0.0228,0.1227
epstein,israel,channels,5,0.0258,0.1343,0.1227
epstein,israel,channels,6,-0.0847,-0.0673,0.1227
epstein,israel,channels,7,-0.1090,-0.0770,0.1227
epstein,israel,channels,8,-0.0739,-0.0143,0.1227
epstein,israel,channels,9,-0.0446,0.0248,0.1227
epstein,israel,channels,10,-0.0821,-0.0267,0.1227
epstein,israel,channels,11,-0.1263,-0.0725,0.1227
epstein,israel,channels,12,-0.1328,-0.1179,0.1227
epstein,israel,channels,13,-0.0476,0.0017,0.1227
epstein,israel,channels,14,0.0087,0.0820,0.1227
iran,israel,pooled,-14,-0.0464,0.1054,0.1225
iran,israel,pooled,-13,-0.0300,0.0384,0.1225
iran,israel,pooled,-12,-0.0419,-0.0121,0.1225
iran,israel,pooled,-11,-0.0439,-0.0164,0.1225
iran,israel,pooled,-10,-0.0337,0.0476,0.1225
iran,israel,pooled,-9,-0.0546,-0.1128,0.1225
iran,israel,pooled,-8,0.0044,0.0828,0.1225
iran,israel,pooled,-7,0.0116,-0.0839,0.1225
iran,israel,pooled,-6,0.0788,0.0145,0.1225
iran,israel,pooled,-5,0.1404,0.0130,0.1225
iran,israel,pooled,-4,0.1999,-0.0470,0.1225
iran,israel,pooled,-3,0.3081,0.1134,0.1225
iran,israel,pooled,-2,0.3509,0.0181,0.1225
iran,israel,pooled,-1,0.4032,0.0173,0.1225
iran,israel,pooled,0,0.4748,0.1773,0.1225
iran,israel,pooled,1,0.4432,0.0314,0.1225
iran,israel,pooled,2,0.4190,0.0795,0.1225
iran,israel,pooled,3,0.3734,0.0556,0.1225
iran,israel,pooled,4,0.2979,-0.0014,0.1225
iran,israel,pooled,5,0.2487,-0.0120,0.1225
iran,israel,pooled,6,0.2298,0.0569,0.1225
iran,israel,pooled,7,0.1778,-0.0629,0.1225
iran,israel,pooled,8,0.1876,0.0392,0.1225
iran,israel,pooled,9,0.1709,0.1151,0.1225
iran,israel,pooled,10,0.0950,-0.0930,0.1225
iran,israel,pooled,11,0.1221,0.0991,0.1225
iran,israel,pooled,12,0.0750,-0.0468,0.1225
iran,israel,pooled,13,0.0672,0.0928,0.1225
iran,israel,pooled,14,0.0027,-0.0816,0.1225
iran,israel,channels,-14,-0.0512,0.0278,0.1227
iran,israel,channels,-13,0.0014,0.0596,0.1227
iran,israel,channels,-12,0.0266,0.0611,0.1227
iran,israel,channels,-11,0.0250,0.0434,0.1227
iran,israel,channels,-10,0.0064,0.0580,0.1227
iran,israel,channels,-9,-0.0667,-0.1702,0.1227
iran,israel,channels,-8,0.0057,0.0704,0.1227
iran,israel,channels,-7,-0.0061,-0.1354,0.1227
iran,israel,channels,-6,0.0963,0.0621,0.1227
iran,israel,channels,-5,0.1296,-0.0475,0.1227
iran,israel,channels,-4,0.2164,0.0325,0.1227
iran,israel,channels,-3,0.2791,0.0353,0.1227
iran,israel,channels,-2,0.3294,0.0227,0.1227
iran,israel,channels,-1,0.3744,-0.0016,0.1227
iran,israel,channels,0,0.4809,0.1989,0.1227
iran,israel,channels,1,0.4440,0.0755,0.1227
iran,israel,channels,2,0.3792,0.0299,0.1227
iran,israel,channels,3,0.3716,0.0547,0.1227
iran,israel,channels,4,0.3166,0.0394,0.1227
iran,israel,channels,5,0.2624,0.0409,0.1227
iran,israel,channels,6,0.1829,-0.0784,0.1227
iran,israel,channels,7,0.1644,-0.0209,0.1227
iran,israel,channels,8,0.1868,0.1139,0.1227
iran,israel,channels,9,0.0925,-0.0421,0.1227
iran,israel,channels,10,0.0352,-0.0453,0.1227
iran,israel,channels,11,0.0724,0.0849,0.1227
iran,israel,channels,12,0.0022,-0.0906,0.1227
iran,israel,channels,13,0.0334,0.1312,0.1227
iran,israel,channels,14,-0.0695,-0.1321,0.1227
epstein_broad,iran_broad,pooled,-14,-0.2547,-0.0738,0.1225
epstein_broad,iran_broad,pooled,-13,-0.3246,-0.1616,0.1225
epstein_broad,iran_broad,pooled,-12,-0.3321,-0.1048,0.1225
epstein_broad,iran_broad,pooled,-11,-0.3348,-0.1071,0.1225
epstein_broad,iran_broad,pooled,-10,-0.3511,-0.1932,0.1225
epstein_broad,iran_broad,pooled,-9,-0.2821,-0.1110,0.1225
epstein_broad,iran_broad,pooled,-8,-0.2230,-0.0875,0.1225
epstein_broad,iran_broad,pooled,-7,-0.1473,0.0197,0.1225
epstein_broad,iran_broad,pooled,-6,-0.1469,-0.0775,0.1225
epstein_broad,iran_broad,pooled,-5,-0.1226,-0.0809,0.1225
epstein_broad,iran_broad,pooled,-4,-0.0580,0.0127,0.1225
epstein_broad,iran_broad,pooled,-3,-0.0337,-0.0080,0.1225
epstein_broad,iran_broad,pooled,-2,-0.0074,0.0762,0.1225
epstein_broad,iran_broad,pooled,-1,-0.0728,-0.0555,0.1225
epstein_broad,iran_broad,pooled,0,-0.0909,-0.0094,0.1225
epstein_broad,iran_broad,pooled,1,-0.1094,-0.0292,0.1225
epstein_broad,iran_broad,pooled,2,-0.1514,-0.0552,0.1225
epstein_broad,iran_broad,pooled,3,-0.1795,-0.0526,0.1225
epstein_broad,iran_broad,pooled,4,-0.1981,-0.1041,0.1225
epstein_broad,iran_broad,pooled,5,-0.1822,-0.0159,0.1225
epstein_broad,iran_broad,pooled,6,-0.1998,-0.1254,0.1225
epstein_broad,iran_broad,pooled,7,-0.1602,-0.0282,0.1225
epstein_broad,iran_broad,pooled,8,-0.1342,-0.1147,0.1225
epstein_broad,iran_broad,pooled,9,-0.0704,0.0154,0.1225
epstein_broad,iran_broad,pooled,10,-0.0457,-0.0261,0.1225
epstein_broad,iran_broad,pooled,11,-0.0329,-0.0191,0.1225
epstein_broad,iran_broad,pooled,12,-0.0326,-0.0327,0.1225
epstein_broad,iran_broad,pooled,13,-0.0309,-0.0831,0.1225
epstein_broad,iran_broad,pooled,14,0.0246,-0.0138,0.1225
epstein_broad,iran_broad,channels,-14,-0.2597,-0.1450,0.1227
epstein_broad,iran_broad,channels,-13,-0.2960,-0.1118,0.1227
epstein_broad,iran_broad,channels,-12,-0.2888,-0.0707,0.1227
epstein_broad,iran_broad,channels,-11,-0.2979,-0.1164,0.1227
epstein_broad,iran_broad,channels,-10,-0.3350,-0.2185,0.1227
epstein_broad,iran_broad,channels,-9,-0.2246,-0.0712,0.1227
epstein_broad,iran_broad,channels,-8,-0.2178,-0.0577,0.1227
epstein_broad,iran_broad,channels,-7,-0.1564,-0.0300,0.1227
epstein_broad,iran_broad,channels,-6,-0.1529,-0.0739,0.1227
epstein_broad,iran_broad,channels,-5,-0.1121,-0.0573,0.1227
epstein_broad,iran_broad,channels,-4,-0.0508,-0.0079,0.1227
epstein_broad,iran_broad,channels,-3,-0.0045,0.0675,0.1227
epstein_broad,iran_broad,channels,-2,-0.0057,0.0439,0.1227
epstein_broad,iran_broad,channels,-1,-0.0573,-0.0302,0.1227
epstein_broad,iran_broad,channels,0,-0.0601,-0.0043,0.1227
epstein_broad,iran_broad,channels,1,-0.0637,0.0195,0.1227
epstein_broad,iran_broad,channels,2,-0.1244,-0.0454,0.1227
epstein_broad,iran_broad,channels,3,-0.1591,-0.0718,0.1227
epstein_broad,iran_broad,channels,4,-0.1545,-0.0207,0.1227
epstein_broad,iran_broad,channels,5,-0.1736,-0.0619,0.1227
epstein_broad,iran_broad,channels,6,-0.1956,-0.1395,0.1227
epstein_broad,iran_broad,channels,7,-0.1265,-0.0208,0.1227
epstein_broad,iran_broad,channels,8,-0.1125,-0.0855,0.1227
epstein_broad,iran_broad,channels,9,-0.0662,-0.0250,0.1227
epstein_broad,iran_broad,channels,10,-0.0323,-0.0026,0.1227
epstein_broad,iran_broad,channels,11,-0.0250,-0.0158,0.1227
epstein_broad,iran_broad,channels,12,-0.0352,-0.0562,0.1227
epstein_broad,iran_broad,channels,13,-0.0438,-0.1160,0.1227
epstein_broad,iran_broad,channels,14,0.0064,-0.0434,0.1227
epstein_broad,war_broad,pooled,-14,-0.0956,-0.0195,0.1225
epstein_broad,war_broad,pooled,-13,-0.1545,-0.0329,0.1225
epstein_broad,war_broad,pooled,-12,-0.2118,-0.1121,0.1225
epstein_broad,war_broad,pooled,-11,-0.2036,-0.0681,0.1225
epstein_broad,war_broad,pooled,-10,-0.1993,-0.1242,0.1225
epstein_broad,war_broad,pooled,-9,-0.1125,-0.0269,0.1225
