organisation,genre,n_channels,channels,n_unique,F1_controlled,F1_raw,F2_controlled,F2_raw,F3_controlled,F3_raw,F4_controlled,F4_raw,F5_controlled,F5_raw,F6_controlled,F6_raw,F7_controlled,F7_raw,F8_controlled,F8_raw,F9_controlled,F9_raw,F10_controlled,F10_raw,F11_controlled,F11_raw,F12_controlled,F12_raw
Al Jazeera,videos,2,@ajplus; @aljazeeraenglish,6693,0.056232209413981625,-0.3898865071642831,0.4842579768363851,0.5767151382735719,-0.5443241945834681,-0.3432511607622393,-0.2682024712295954,-0.43919442841222384,0.23516018944069816,0.06086611027804059,-0.6471677537857438,-0.8611171595433282,1.9360716666095865,2.837552708582772,-0.017989175063939267,0.19913375611851103,-0.3265097051453537,-0.6121676672795829,-0.21098775070580916,0.3603788787264545,-0.1863059361247361,0.04070485784258344,0.5964679881523203,1.627579147371531
Alex Stein,streams,1,@AlexStein99,41,0.7562354029632035,1.406740383626585,-1.4078524275760933,-2.147781284391453,-0.5855970852492015,-0.3691094952226851,-0.1454500797303437,-0.1987134835195095,0.1570977637385919,-0.1012686094583405,0.026448596936536603,0.4518570919030291,-0.7268400164582155,-0.8754393680848149,0.2890149253558802,0.7931255305185331,-0.3399530614434081,-0.2256934052512021,-0.6772548519177285,-0.9047521627039795,-1.036926401606473,-1.175266234109157,-0.4302808591200128,-0.7524202277454126
Alex Stein,videos,1,@AlexStein99,82,0.4425272322451509,0.6301428275851545,-0.1806584038830848,-0.1941773836586497,-0.2653690402060269,-0.2538744266375395,-0.1287759408471095,-0.190813317311357,-0.0928352560475947,-0.170061339320371,-0.6457219648529278,-0.5726155929744525,-0.7163651051803227,-0.6080229502515629,-0.4411967514824486,-0.43792345502559027,-0.5225610678470998,-0.5300492755161992,-0.1951600157904603,-0.016164148912211,-1.190816147518062,-1.1142725189271183,-0.2416350632185356,-0.3842074721209724
Amala Ekpunobi,streams,1,@TheAmalaEkpunobi,12,0.3000878256123678,0.4504220349298382,-0.3340186528225984,-0.2519457102741429,0.225807745001223,0.05848211876274909,0.718562258099897,0.602008606702021,-0.3614687157228087,-0.3531589074167265,-0.075030228159948,-0.060530575908653496,-0.4933261724064597,-0.3282042318900749,-0.6881110829753946,-0.7694480124005659,0.0672894901658859,-0.0769876627714212,-0.3763348384252856,-0.059948884366923395,-0.5998748512392625,-0.49762178542071683,0.2820337857770459,-0.1290235114460118
Amala Ekpunobi,videos,1,@TheAmalaEkpunobi,197,0.34267482052253334,0.5213593354358421,0.6746734372081483,1.031289889041382,-0.3443669806546254,-0.5100995505034122,0.2376453474184637,0.32543779048809884,-0.35342378942907154,-0.2866534001553839,-1.0219936430661345,-1.378909791977441,-1.113540100909519,-1.0812423304094267,-0.6208095737702389,-0.8272734763325906,-0.4184478911299618,-0.4401524058333159,-0.3933897562126991,-0.1542538114997252,-0.9502573439934282,-0.9598632002474672,-0.1670472468277779,-0.5959752385384821
Ana Escobar,streams,1,@AnaEscobarShow,31,0.8349798287567878,0.8889089065202967,-1.2179600581986667,-1.2540037053045294,0.1494854049665171,0.2122604189111863,0.123672135306469,0.0844081553577613,1.0715715888079955,1.1332582276997525,0.3568763599754399,0.4971237265866955,-0.977747331464675,-0.6997986573643709,0.3110134869511632,0.93271601427638,0.8937270829145573,0.6463954509551699,-0.1762626849192417,-0.0603773356554153,0.1168646477289715,-0.0686534553678274,-0.8059321538727261,-1.0140702331146068
Ana Escobar,videos,1,@AnaEscobarShow,32,-0.1760080504333503,-0.1597794164199208,0.7988320926071237,0.8985737288566783,0.2225732705938032,0.1662905010431297,0.237894669769505,0.1586954739156142,0.8574531979391539,0.8437815681478393,-0.1243543146888964,0.8684134025172833,-0.874063447855423,-0.8390051884413008,0.1716537677606801,0.5427915277831841,0.8218154868956997,0.7863272824962945,-0.3748883083092317,-0.2410218535730459,1.3625841262633562,1.1870369178482183,0.4008167989845062,0.1024201326606204
And We Know,videos,1,@AndWeKnowOfficial-o9b,184,1.3653672412615947,1.5276853307957168,-0.0600294293825683,0.066648956228996,-0.2574710622711995,-0.2816531224723079,0.0091003804637069,-0.0193399311764248,-0.6427831227342439,-0.6494015471776096,-0.5088372175226911,-0.6032143920605274,0.0156788939104223,0.19281380097815984,0.5848908041361647,0.7886545148369086,2.784408475641022,2.777491828724618,-0.7098096263451074,-0.5952573774049725,4.588528607989101,5.187146948974886,0.1587621938290932,0.5201522777414629
Anthony Brian Logan,streams,1,@AnthonyBrianLogan,48,0.5127896139559214,0.1489030843221729,-0.9173524753144716,-1.4979976720416186,-0.5175750375382859,-0.6041778744847853,0.17433386777739943,0.04493544931027069,-0.4513734342282478,-0.9544614889157246,0.9813237276439194,2.152307767284144,-0.20575896644237454,0.0130936547535442,-0.1953791999226522,0.2900144596486125,-0.4019159800480552,-0.1179398071076105,-0.5364191647734299,-0.6323820057468231,0.7771122377827772,1.4846704677590086,0.08433645179002898,0.2858352104806669
Anthony Brian Logan,videos,1,@AnthonyBrianLogan,233,-0.0102139872772889,-0.1240216883588285,-0.4272994028267532,-0.4799083705808776,-0.652130246678594,-0.4780313978769102,-0.1714323808677988,-0.335048292893868,-0.3203008663887785,-0.5554827118485968,-0.0849025134221303,0.0471723440360162,-0.8161400655519868,-0.5158211834345858,0.2426974089282462,0.3315617873441313,0.0643002912827221,-0.0372695033476679,-0.5154821794443029,-0.3171370253259163,0.2076002680426358,0.1926674037506342,-0.34023538722485,-0.2976180529702382
