term,n_titles,degree,strength,betweenness,community
epstein files,1395,40,87.10606,0.00222,2
security,2146,37,85.43896,0.00633,2
chair,515,22,82.68786,0.00111,2
fauci,881,30,79.35875,0.00326,2
todd blanche,638,24,76.57114,0.00064,2
todd,696,24,75.42683,0.00064,2
bondi,1150,28,73.47391,0.00121,2
fed,1166,22,69.71421,0.00226,2
noem,1068,29,69.50865,0.00310,2
general,1027,22,68.46291,0.00183,2
congress,2197,33,67.27664,0.00313,2
mullin,450,19,65.83131,0.00089,2
national,1806,22,64.32468,0.00266,2
testify,359,19,63.95908,0.00081,2
director,616,17,63.93513,0.00081,2
hold,1239,26,62.79448,0.00420,2
warsh,430,16,61.28452,0.00104,2
ag,645,21,60.61635,0.00098,2
markwayne mullin,251,17,60.59776,0.00049,2
pentagon,1212,22,60.57510,0.00366,2
attorney,743,22,59.81766,0.00182,2
probe,764,23,59.44338,0.00300,2
markwayne,261,17,59.25377,0.00049,2
caine,159,16,59.21087,0.00095,2
confirmation,280,17,58.22484,0.00021,2
clinton,650,20,57.46376,0.00179,2
rates,342,14,54.97704,0.00050,2
budget,702,18,54.39108,0.00147,2
fed chair,267,12,53.81133,0.00011,2
criminal,627,16,53.21271,0.00064,2
operation,1154,24,51.20601,0.00274,2
update,1437,20,49.03660,0.00277,2
testimony,521,18,47.68556,0.00084,2
covid,461,16,47.66716,0.00094,2
officials,1177,20,46.99327,0.00381,2
cia,721,16,46.49366,0.00243,2
powell,325,12,45.30175,0.00016,2
gabbard,373,13,44.87432,0.00164,2
committee,416,12,44.44575,0.00008,2
acting,253,11,43.72262,0.00105,2
kristi noem,675,15,43.35458,0.00054,2
kristi,684,15,43.32160,0.00054,2
releases,538,14,41.62157,0.00349,2
contempt,231,11,41.12676,0.00052,2
patel,763,14,41.08988,0.00081,2
pam,677,15,40.67032,0.00034,2
attorney general,296,11,40.58633,0.00007,2
ufo,485,11,39.70176,0.00046,2
intelligence,392,10,39.58615,0.00049,2
bessent,586,14,39.55782,0.00241,2
pam bondi,668,14,39.36171,0.00032,2
kevin warsh,209,9,38.88665,0.00018,2
kevin,444,10,38.58819,0.00034,2
release,686,13,38.54466,0.00049,2
homeland,194,9,37.65107,0.00000,2
confirmation hearing,156,10,37.30331,0.00003,2
inflation,604,13,36.56141,0.00119,2
pick,334,11,36.50688,0.00183,2
homeland security,144,8,36.03017,0.00000,2
