phrase,word_a,word_b,gap,titles,channels,npmi,bound_pair
st petersburg,st,petersburg,0,66,17,0.7581,False
heavy rain,heavy,rain,0,66,13,0.6338,False
blake lively,blake,lively,0,66,13,0.9461,True
rev jesse,rev,jesse,0,65,20,0.6064,False
humanoid robots,humanoid,robots,0,65,19,0.7996,False
haley stevens,haley,stevens,0,65,28,0.9288,True
cory booker,cory,booker,0,65,28,0.9185,True
ana kasparian,ana,kasparian,0,64,28,0.8925,False
prices soar,prices,soar,0,64,33,0.5048,False
deadline looms,deadline,looms,0,64,23,0.5635,False
cargo ship,cargo,ship,0,64,20,0.5478,False
common sense,common,sense,0,64,28,0.7975,False
illegal aliens,illegal,aliens,0,64,19,0.5284,False
jensen huang,jensen,huang,0,63,12,0.9574,True
ex-fbi agent,ex-fbi,agent,0,63,12,0.6571,False
united nations,united,nations,0,63,16,0.5494,False
virginia redistricting,virginia,redistricting,0,63,25,0.5274,False
matt gaetz,matt,gaetz,0,63,11,0.7872,False
met gala,met,gala,0,62,30,0.7794,False
closing arguments,closing,arguments,0,62,16,0.6517,False
humanoid robot,humanoid,robot,0,62,14,0.7412,False
years ago,years,ago,0,61,37,0.5487,False
francesca hong,francesca,hong,0,61,31,0.8321,False
soccer team,soccer,team,0,61,19,0.5193,False
jay clayton,jay,clayton,0,61,16,0.7848,False
dignified transfer,dignified,transfer,0,61,22,0.9217,True
pay tribute,pay,tribute,0,61,11,0.5044,False
critical minerals,critical,minerals,0,60,15,0.7195,False
ra l castro,ra,castro,1,60,18,0.8711,False
blue origin,blue,origin,0,60,21,0.7265,False
professor jiang,professor,jiang,0,60,18,0.7651,False
glenn greenwald,glenn,greenwald,0,60,19,0.7596,False
prediction markets,prediction,markets,0,60,24,0.5747,False
executive orders,executive,orders,0,60,23,0.5004,False
issues stark,issues,stark,0,60,14,0.5595,False
ayatollah ali,ayatollah,ali,0,59,16,0.6338,False
lionel messi,lionel,messi,0,59,16,0.8408,False
nasa astronaut,nasa,astronaut,0,59,15,0.5888,False
fatally shot,fatally,shot,0,59,16,0.5883,False
la mayoral,la,mayoral,0,59,26,0.6566,False
mark zuckerberg,mark,zuckerberg,0,59,24,0.5487,False
chip roy,chip,roy,0,59,13,0.7223,False
max miller,max,miller,0,59,25,0.57,False
bowl halftime,bowl,halftime,0,59,38,0.6731,False
randy fine,randy,fine,0,58,26,0.8632,False
czar tom,czar,tom,0,58,18,0.6298,False
jillian michaels,jillian,michaels,0,58,15,0.9751,True
les wexner,les,wexner,0,58,19,0.9498,True
tate brothers,tate,brothers,0,58,35,0.7177,False
mail-in ballots,mail-in,ballots,0,58,30,0.7213,False
approval rating,approval,rating,0,58,24,0.7843,False
cole allen,cole,allen,0,58,21,0.759,False
daily wire,daily,wire,0,57,29,0.6035,False
firefighters battle,firefighters,battle,0,57,10,0.5551,False
rose garden,rose,garden,0,57,16,0.8187,False
susan collins,susan,collins,0,57,23,0.7987,False
medicaid fraud,medicaid,fraud,0,57,20,0.5014,False
whca dinner,whca,dinner,0,57,14,0.6529,False
instantly regrets,instantly,regrets,0,57,18,0.6715,False
kyle busch,kyle,busch,0,57,17,0.798,False
delcy rodriguez,delcy,rodriguez,0,57,14,0.8712,True
harry and meghan,harry,meghan,1,57,15,0.6881,False
elizabeth warren,elizabeth,warren,0,57,26,0.6289,False
kevin o'leary,kevin,o'leary,0,57,28,0.7324,False
ethan klein,ethan,klein,0,57,13,0.9121,True
ground zero,ground,zero,0,57,25,0.5284,False
gilgo beach,gilgo,beach,0,56,12,0.8064,False
nicki minaj,nicki,minaj,0,56,32,0.9799,True
artificial intelligence,artificial,intelligence,0,56,21,0.7308,False
simple question,simple,question,0,56,25,0.5784,False
billie eilish,billie,eilish,0,56,36,0.9841,True
nancy grace,nancy,grace,0,56,17,0.5651,False
scorched earth,scorched,earth,0,56,29,0.7449,False
tropical storm,tropical,storm,0,55,11,0.6635,False
