term,n_titles,degree,strength,betweenness,community
data centers,100,1,2.65308,0.00000,12
centers,114,1,2.62281,0.00000,12
bernie,129,1,2.60659,0.00000,12
kill,311,1,2.27267,0.00000,12
kennedy center,131,1,1.88577,0.00000,12
kennedy,204,1,1.85353,0.00000,12
case,536,15,32.19269,0.03469,13
speech,875,11,26.77656,0.02726,13
charlie,245,6,18.81992,0.00532,13
kirk,351,5,14.46277,0.00285,13
charlie kirk,211,4,12.90741,0.00244,13
america,1649,5,12.12210,0.00457,13
pirro,102,3,10.71049,0.00004,13
owens,151,3,9.49419,0.00000,13
disaster,902,4,9.32885,0.00426,13
th,410,3,9.10920,0.00330,13
candace,170,3,8.85274,0.00000,13
pool,319,3,8.48780,0.00252,13
reflecting pool,215,2,6.31290,0.00024,13
reflecting,221,2,6.30706,0.00024,13
candace owens,146,2,6.24737,0.00000,13
family,403,4,5.88430,0.00386,13
july,129,2,5.48526,0.00389,13
january,76,1,3.94114,0.00000,13
latin,64,1,3.58185,0.00000,13
free,224,1,3.51995,0.00000,13
delivers,201,1,3.45883,0.00000,13
lake,73,1,3.18897,0.00000,13
crowd,169,1,3.16034,0.00000,13
wells,163,2,2.98247,0.00082,13
nolan wells,162,2,2.93515,0.00082,13
nolan,170,2,2.92957,0.00082,13
presser,171,1,2.80769,0.00000,13
erika,139,1,2.74695,0.00000,13
davos,121,1,2.66691,0.00000,13
interview,646,1,2.19290,0.00000,13
health,562,7,20.96746,0.01067,14
fauci,131,5,16.23983,0.00685,14
poll,214,4,15.22620,0.00392,14
makes,842,5,13.79080,0.00574,14
don't,534,5,12.93832,0.00209,14
americans,838,5,10.93640,0.00646,14
want,411,4,10.78574,0.00085,14
doesn't,332,4,10.42597,0.00096,14
care,194,3,10.18972,0.00256,14
update,467,4,9.72923,0.00325,14
know,389,3,9.01093,0.00000,14
gives,405,3,8.96963,0.00519,14
shock,1128,4,8.04072,0.00326,14
dr,321,2,7.24392,0.00277,14
announcement,468,4,7.15052,0.00889,14
minister,281,3,6.77404,0.00426,14
mcconnell,291,2,6.09412,0.00088,14
says,2180,4,5.36435,0.00294,14
numbers,129,1,4.51754,0.00000,14
shows,251,1,4.38450,0.00000,14
admission,191,1,4.14012,0.00000,14
foreign,235,1,3.60577,0.00000,14
covid,80,1,3.55418,0.00000,14
anthony,81,1,3.42289,0.00000,14
mitch mcconnell,163,1,3.40583,0.00000,14
mitch,192,1,3.07137,0.00000,14
confession,84,1,2.60783,0.00000,14
stunning,287,1,1.85843,0.00000,14
arrested,255,8,21.63897,0.01510,15
mayor,215,7,21.39615,0.01150,15
mamdani,455,7,20.98377,0.01541,15
arrest,257,6,18.23537,0.00884,15
netanyahu,774,8,17.68220,0.01338,15
don,256,5,13.91814,0.00382,15
protest,340,5,13.03959,0.00303,15
don lemon,177,5,11.60678,0.00467,15
lemon,193,5,11.48183,0.00466,15
andrew,335,5,11.26090,0.00497,15
nyc,226,3,8.64561,0.00054,15
york,180,2,6.70259,0.00082,15
zohran mamdani,136,2,5.89014,0.00020,15
prince andrew,43,2,5.49353,0.00000,15
zohran,269,2,5.40101,0.00020,15
prince,103,2,5.16993,0.00000,15
frey,27,1,4.50990,0.00000,15
nyc mayor,49,1,4.28824,0.00000,15
benjamin,40,1,3.97146,0.00000,15
jr,263,1,3.90418,0.00000,15
la,93,1,3.80742,0.00000,15
times,141,1,3.53016,0.00000,15
can't,735,6,19.50435,0.01492,16
questions,403,5,17.12142,0.02273,16
