row_id,video_id,creator,genre,topic_id,topic_sim,weak_assignment,political
279,oQSRK0nYcSY,@AsmonTV,videos,67,0.49020696,False,True
280,__m79Ohgv6g,@AsmonTV,videos,2,0.7639146,False,True
281,OAQEoy6LlC4,@AsmonTV,videos,1,0.45233494,False,True
282,xhe754mc2fU,@AsmonTV,videos,196,0.51717633,False,True
283,ja9LkLNGRxg,@AsmonTV,videos,1,0.3772925,True,True
284,3JiG9q-EqqE,@AsmonTV,videos,1,0.4458964,True,True
285,H3M-LNDaQ1Y,@AsmonTV,videos,217,0.32175133,True,True
286,aehjs6Ev4D4,@AsmonTV,videos,101,0.39764428,True,True
287,K5sbDfMr3Is,@AsmonTV,videos,1,0.38909903,True,True
288,_TS2Yx4jiPs,@AsmonTV,videos,1,0.49004516,False,True
289,I42LzZ2VB70,@AsmonTV,videos,1,0.45542473,False,True
290,zykyObNA4M8,@AsmonTV,videos,141,0.6167977,False,True
291,j5U9EpMKywE,@AsmonTV,videos,1,0.5348648,False,True
292,kseYcBtYq9c,@AsmonTV,videos,1,0.47489414,False,True
293,Lh0D3W9eiSs,@AsmonTV,videos,1,0.41566938,True,True
294,LHZX1Kaap4c,@AsmonTV,videos,1,0.495268,False,True
295,eQHW0Dq6Pzg,@AsmonTV,videos,1,0.3758609,True,True
296,L---0oYMKPw,@AsmonTV,videos,1,0.4511889,False,True
297,TMvt9XeUPGs,@AsmonTV,videos,1,0.51666236,False,True
298,I1eHBXPWp9w,@AsmonTV,videos,1,0.504225,False,True
299,5YdF2-5J8RQ,@AsmonTV,videos,1,0.48634702,False,True
300,vh4NrERTLsQ,@AsmonTV,videos,1,0.38125753,True,True
301,dOIwWQGhiyM,@AsmonTV,videos,73,0.6507316,False,True
302,lVPa9HqxQEM,@AsmonTV,videos,146,0.51833785,False,True
303,Jk-U6zsIhYo,@AsmonTV,videos,171,0.44723323,True,True
304,ojM4JvJbEIc,@AsmonTV,videos,31,0.389985,True,True
305,EwVnONKvkcE,@AsmonTV,videos,11,0.28290167,True,True
306,kvp77Lex8nk,@AsmonTV,videos,1,0.37486544,True,True
307,78M8EaCIgu0,@AsmonTV,videos,59,0.37295192,True,True
