creator,channel_name,platform,lane,organisation,clipper,subscribers,n_videos,n_streams,low_n_videos,low_n_streams,note,status
@ClubRandomPodcast,Club Random Podcast,youtube,interview_podcast,Bill Maher,False,890000.0,197,0,False,True,,proposed
@ColeHastings,Cole Hastings,youtube,centrist_heterodox,Cole Hastings,False,879000.0,32,0,True,True,,proposed
@ColemanHughesOfficial,Coleman Hughes,youtube,interview_podcast,Coleman Hughes,False,265000.0,54,0,False,True,centrist,proposed
@CoreyGilShusterAskProject,Corey Gil-Shuster,youtube,explainer_geopolitics,Ask Project,False,374000.0,53,2,False,True,vox-pop interviews Israel/Palestine,proposed
@DailyDenims,Daily Denims,youtube,streamer_reaction,Denims,True,11400.0,215,0,False,True,unofficial fan-run channel per description,proposed
@DannyHaiphongYT,Danny Haiphong,youtube,left_commentary,Danny Haiphong,False,683000.0,64,227,False,False,geopolitics streams,proposed
@DarkHorsePod,Bret Weinstein,youtube,centrist_heterodox,DarkHorse,False,551000.0,70,38,False,True,,proposed
@DemocracyDocket,Democracy Docket,youtube,legal_institutional,Democracy Docket,False,793000.0,129,4,False,True,,proposed
@DemocracyNow,Democracy Now!,youtube,independent_digital_news,Democracy Now!,False,3390000.0,814,1,False,True,,proposed
@DestinyDGGClips,Destiny DGG Clips,youtube,streamer_reaction,Destiny,True,11800.0,209,0,False,True,fan channel,proposed
@DoubleDownNews,Double Down News,youtube,independent_digital_news,Double Down News,False,1200000.0,66,0,False,True,UK left,proposed
@DrSteveTurleyTV,Dr. Steve Turley,youtube,right_commentary,Steve Turley,False,1670000.0,442,31,False,True,,proposed
@DropSiteNews,Drop Site News,youtube,independent_digital_news,Drop Site,False,219000.0,204,43,False,True,,proposed
@DueDissidence,Due Dissidence,youtube,left_commentary,Due Dissidence,False,134000.0,643,112,False,False,,proposed
@DylanBurnsLIVE,DylanBurnsLIVE,youtube,streamer_reaction,Dylan Burns,False,45200.0,190,3,False,True,left; Ukraine,proposed
@EzraKleinShow,The Ezra Klein Show,youtube,interview_podcast,New York Times,False,560000.0,65,1,False,True,NYT Opinion podcast,proposed
@FarronBalanced,Farron Balanced,youtube,left_commentary,Farron Balanced,False,1160000.0,1780,188,False,False,,proposed
@FinancialTimes,Financial Times,youtube,wire_international,Financial Times,False,1450000.0,40,0,True,True,UK press,proposed
@Firstpost,Firstpost,youtube,wire_international,Network18,False,9720000.0,10126,8975,False,False,India,proposed
@FleccasTalks,Fleccas Talks,youtube,right_commentary,Fleccas Talks,False,922000.0,290,0,False,True,,proposed
@Forbes,Forbes,youtube,us_press_print_digital,Forbes,False,2180000.0,1256,3,False,True,business,proposed
@Forthepeoplepodcast305,Niko House,youtube,left_commentary,Niko House,False,54600.0,115,45,False,True,,proposed
@FoxNews,Fox News,youtube,us_legacy_tv,Fox News,False,15500000.0,8210,645,False,False,,proposed
@FoxNewsChannelClips,Fox News Clips,youtube,us_legacy_tv,Fox News,True,846000.0,5748,0,False,True,clips channel,proposed
@FreshFitMiami,FreshandFit,youtube,right_commentary,Fresh & Fit,False,1590000.0,111,75,False,False,manosphere,proposed
@GeopoliticalEconomyReport,Geopolitical Economy Report,youtube,independent_digital_news,Geopolitical Economy Report,False,760000.0,72,0,False,True,anti-imperialist analysis,proposed
@GlennKirschner2,Glenn Kirschner,youtube,legal_institutional,Glenn Kirschner,False,1260000.0,262,0,False,True,,proposed
