creator,platform,genre,n_rows,n_unique,n_balanced,n_with_views,first_month,last_month,n_norm_fallback,repeat_share,low_n,channel_name,channel_follower_count,channel_is_verified
@CNN,youtube,streams,94,93,93,94,2026-02,2026-09,0,0.0106,False,CNN,19800000.0,True
@CNN,youtube,videos,1638,1638,1638,1638,2026-01,2026-09,0,0.0,False,CNN,19800000.0,True
@CamHigby,youtube,streams,71,59,59,68,2026-01,2026-09,0,0.169,False,Cam Higby,280000.0,
@CamHigby,youtube,videos,175,174,174,171,2026-01,2026-09,0,0.0057,False,Cam Higby,280000.0,
@CashJordan,youtube,videos,301,299,299,301,2026-01,2026-09,0,0.0066,False,Cash Jordan,1750000.0,True
@CaspianReport,youtube,videos,25,25,25,25,2026-01,2026-09,0,0.0,True,CaspianReport,1850000.0,
@ChadPrather1,youtube,streams,191,190,190,191,2026-01,2026-09,0,0.0052,False,Chad Prather,496000.0,True
@ChadPrather1,youtube,videos,152,152,152,152,2026-01,2026-09,0,0.0,False,Chad Prather,496000.0,True
@Channel5YouTube,youtube,videos,42,42,42,42,2026-01,2026-09,0,0.0,True,Channel 5 with Andrew Callaghan,3700000.0,True
@ClipsCandaceOwens,youtube,videos,192,192,192,1,2026-03,2026-09,0,0.0,False,Candace Clips,161000.0,True
@ClubRandomPodcast,youtube,videos,185,185,185,185,2026-01,2026-09,0,0.0,False,Club Random Podcast,890000.0,True
@ColeHastings,youtube,videos,30,30,30,30,2026-01,2026-09,0,0.0,True,Cole Hastings,879000.0,True
@ColemanHughesOfficial,youtube,videos,52,52,52,52,2026-01,2026-09,0,0.0,False,Coleman Hughes,265000.0,True
@CoreyGilShusterAskProject,youtube,streams,2,2,2,2,2026-03,2026-03,0,0.0,True,Corey Gil-Shuster,374000.0,
@CoreyGilShusterAskProject,youtube,videos,49,49,49,49,2026-01,2026-09,0,0.0,True,Corey Gil-Shuster,374000.0,
@DailyDenims,youtube,videos,215,215,215,215,2026-04,2026-09,0,0.0,False,Daily Denims,11400.0,
@DannyHaiphongYT,youtube,streams,220,220,220,219,2026-01,2026-09,0,0.0,False,Danny Haiphong,683000.0,True
@DannyHaiphongYT,youtube,videos,53,53,53,52,2026-01,2026-09,0,0.0,False,Danny Haiphong,683000.0,True
@DarkHorsePod,youtube,streams,35,35,35,35,2026-01,2026-09,0,0.0,True,Bret Weinstein,551000.0,True
@DarkHorsePod,youtube,videos,65,65,65,65,2026-01,2026-09,0,0.0,False,Bret Weinstein,551000.0,True
@DemocracyDocket,youtube,streams,4,4,4,4,2026-09,2026-09,0,0.0,True,Democracy Docket,793000.0,
@DemocracyDocket,youtube,videos,122,122,122,122,2026-01,2026-09,0,0.0,False,Democracy Docket,793000.0,
@DemocracyNow,youtube,streams,1,1,1,1,2026-03,2026-03,0,0.0,True,Democracy Now!,3390000.0,True
@DemocracyNow,youtube,videos,770,767,767,770,2026-01,2026-09,0,0.0039,False,Democracy Now!,3390000.0,True
@DestinyDGGClips,youtube,videos,191,191,191,191,2026-01,2026-09,0,0.0,False,Destiny DGG Clips,11800.0,
@DoubleDownNews,youtube,videos,64,64,64,64,2026-01,2026-09,0,0.0,False,Double Down News,1200000.0,True
@DrSteveTurleyTV,youtube,streams,29,29,29,29,2026-01,2026-09,0,0.0,True,Dr. Steve Turley,1670000.0,True
@DrSteveTurleyTV,youtube,videos,419,417,417,419,2026-01,2026-09,0,0.0048,False,Dr. Steve Turley,1670000.0,True
@DropSiteNews,youtube,streams,42,42,42,42,2026-01,2026-09,0,0.0,True,Drop Site News ,219000.0,True
@DropSiteNews,youtube,videos,198,198,198,198,2026-01,2026-09,0,0.0,False,Drop Site News ,219000.0,True
@DueDissidence,youtube,streams,105,105,105,105,2026-01,2026-09,0,0.0,False,Due Dissidence,134000.0,True
@DueDissidence,youtube,videos,596,596,596,596,2026-01,2026-09,0,0.0,False,Due Dissidence,134000.0,True
@DylanBurnsLIVE,youtube,streams,3,3,3,3,2026-02,2026-07,0,0.0,True,DylanBurnsLIVE,45200.0,
@DylanBurnsLIVE,youtube,videos,175,175,175,175,2026-01,2026-09,0,0.0,False,DylanBurnsLIVE,45200.0,
@EzraKleinShow,youtube,streams,1,1,1,1,2026-05,2026-05,0,0.0,True,The Ezra Klein Show,560000.0,True
@EzraKleinShow,youtube,videos,60,60,60,60,2026-01,2026-09,0,0.0,False,The Ezra Klein Show,560000.0,True
@FarronBalanced,youtube,streams,178,178,178,178,2026-01,2026-09,0,0.0,False,Farron Balanced,1160000.0,True
@FarronBalanced,youtube,videos,1707,1705,1705,1706,2026-01,2026-09,0,0.0012,False,Farron Balanced,1160000.0,True
@FinancialTimes,youtube,videos,36,36,36,36,2026-01,2026-08,0,0.0,True,Financial Times,1450000.0,True
@Firstpost,youtube,streams,9807,8485,2500,9807,2026-01,2026-09,0,0.1348,False,Firstpost,9720000.0,True
@Firstpost,youtube,videos,9647,9637,2500,9647,2026-01,2026-09,0,0.001,False,Firstpost,9720000.0,True
@FleccasTalks,youtube,videos,288,288,288,66,2026-01,2026-09,0,0.0,False,Fleccas Talks,922000.0,True
@Forbes,youtube,streams,3,3,3,3,2026-05,2026-05,0,0.0,True,Forbes,2180000.0,True
@Forbes,youtube,videos,1208,1196,1196,1208,2026-01,2026-09,0,0.0099,False,Forbes,2180000.0,True
@Forthepeoplepodcast305,youtube,streams,44,44,44,44,2026-01,2026-09,0,0.0,True,Niko House,54600.0,
@Forthepeoplepodcast305,youtube,videos,111,111,111,111,2026-01,2026-09,0,0.0,False,Niko House,54600.0,
@FoxNews,youtube,streams,607,597,597,607,2026-01,2026-09,0,0.0165,False,Fox News,15500000.0,True
@FoxNews,youtube,videos,7730,7727,2500,7675,2026-01,2026-09,0,0.0004,False,Fox News,15500000.0,True
@FoxNewsChannelClips,youtube,videos,5421,5421,2500,5421,2026-01,2026-09,0,0.0,False,Fox News Clips,846000.0,True
@FreshFitMiami,youtube,streams,80,73,73,80,2026-01,2026-09,0,0.0875,False,FreshandFit,1590000.0,True
@FreshFitMiami,youtube,videos,98,98,98,98,2026-01,2026-09,0,0.0,False,FreshandFit,1590000.0,True
@GeopoliticalEconomyReport,youtube,videos,67,67,67,67,2026-01,2026-09,0,0.0,False,Geopolitical Economy Report,760000.0,True
@GlennKirschner2,youtube,videos,246,244,244,246,2026-01,2026-09,0,0.0081,False,Glenn Kirschner,1260000.0,True
@GrahamAllen,youtube,videos,247,247,247,247,2026-01,2026-08,0,0.0,False,Graham Allen,192000.0,True
@HangOutwithSeanHannity,youtube,videos,154,154,154,154,2026-02,2026-09,0,0.0,False,Hang Out with Sean Hannity,178000.0,True
@HasanAbi,youtube,streams,7,7,7,7,2026-01,2026-02,0,0.0,True,HasanAbi,1950000.0,True
@HasanAbi,youtube,videos,597,591,591,597,2026-01,2026-09,0,0.0101,False,HasanAbi,1950000.0,True
@HasanAbiVODs3,youtube,videos,163,163,163,163,2026-01,2026-09,0,0.0,False,HasanAbi VODs,10900.0,
@HasanReactionsfanTwo,youtube,videos,319,319,319,319,2026-01,2026-09,0,0.0,False,Hasan Reactions,254000.0,
@HasanabiClips,youtube,streams,35,32,32,35,2026-08,2026-09,0,0.0857,True,Hasanabi Clips,112000.0,True
@HasanabiClips,youtube,videos,474,474,474,474,2026-01,2026-08,0,0.0,False,Hasanabi Clips,112000.0,True
@JackCocchiarellaShow,youtube,streams,21,21,21,21,2026-02,2026-09,0,0.0,True,Jack Cocchiarella,1610000.0,True
@JackCocchiarellaShow,youtube,videos,1524,1446,1446,1524,2026-01,2026-09,0,0.0512,False,Jack Cocchiarella,1610000.0,True
@JacksonHinkleOfficial,youtube,streams,78,76,76,1,2026-01,2026-09,0,0.0256,False,Jackson Hinkle Official,171000.0,True
@JacksonHinkleOfficial,youtube,videos,346,343,343,3,2026-01,2026-09,0,0.0087,False,Jackson Hinkle Official,171000.0,True
@JamarlThomas,youtube,streams,217,217,217,217,2026-01,2026-09,0,0.0,False,Jamarl Thomas,77900.0,
@JamarlThomas,youtube,videos,245,245,245,245,2026-01,2026-09,0,0.0,False,Jamarl Thomas,77900.0,
@JesseKellyDC,youtube,streams,1,1,1,1,2026-05,2026-05,0,0.0,True,Jesse Kelly,122000.0,True
@JesseKellyDC,youtube,videos,479,478,478,479,2026-01,2026-09,0,0.0021,False,Jesse Kelly,122000.0,True
@JillianMichaels,youtube,videos,437,437,437,437,2026-01,2026-09,0,0.0,False,Jillian Michaels,764000.0,True
@JustPearlyThings,youtube,streams,88,88,88,88,2026-01,2026-09,0,0.0,False,Pearl,2060000.0,True
@JustPearlyThings,youtube,videos,631,631,631,631,2026-01,2026-09,0,0.0,False,Pearl,2060000.0,True
@KimIversen,youtube,streams,1,1,1,1,2026-08,2026-08,0,0.0,True,Kim Iversen,806000.0,True
@KimIversen,youtube,videos,505,505,505,505,2026-01,2026-09,0,0.0,False,Kim Iversen,806000.0,True
@LIVESNEAKO,youtube,streams,69,69,69,69,2026-01,2026-04,0,0.0,False,LIVE SNEAKO,1010000.0,True
@LIVESNEAKO,youtube,videos,474,472,472,474,2026-01,2026-09,0,0.0042,False,LIVE SNEAKO,1010000.0,True
@LastWeekTonight,youtube,videos,35,35,35,35,2026-02,2026-08,0,0.0,True,LastWeekTonight,10200000.0,True
@LeejaMiller,youtube,streams,1,1,1,1,2026-01,2026-01,0,0.0,True,Leeja Miller,708000.0,True
@LeejaMiller,youtube,videos,56,56,56,56,2026-01,2026-09,0,0.0,False,Leeja Miller,708000.0,True
@LegalAFMTN,youtube,streams,46,45,45,46,2026-01,2026-08,0,0.0217,True,Legal AF,1230000.0,True
@LegalAFMTN,youtube,videos,2598,2593,2500,2329,2026-01,2026-09,0,0.0019,False,Legal AF,1230000.0,True
@LegalEagle,youtube,videos,97,97,97,97,2026-01,2026-09,0,0.0,False,LegalEagle,3950000.0,True
@LeverNews,youtube,streams,9,9,9,9,2026-03,2026-06,0,0.0,True,The Lever,74700.0,
@LeverNews,youtube,videos,71,71,71,71,2026-01,2026-09,0,0.0,False,The Lever,74700.0,
@LiberalHivemind,youtube,videos,807,800,800,807,2026-01,2026-09,0,0.0087,False,Liberal Hivemind,1750000.0,True
