term,n_titles,degree,strength,betweenness,community
abortion,37,1,4.34067,0.00000,2
double,140,1,4.31773,0.00000,2
appears,153,1,4.21788,0.00000,2
fourth,94,1,4.01250,0.00000,2
allows,73,1,3.98318,0.00000,2
jr,226,1,3.93822,0.00000,2
labor,93,1,3.79420,0.00000,2
captured,132,2,3.65893,0.00000,2
anthony,116,1,3.60043,0.00000,2
fiery,138,1,3.58872,0.00000,2
husband,123,1,3.46044,0.00000,2
weekend,203,1,3.06125,0.00000,2
candace,154,2,2.99507,0.00083,2
candace owens,106,2,2.94716,0.00083,2
owens,112,2,2.94620,0.00083,2
th birthday,63,1,2.92868,0.00000,2
cases,175,1,2.73612,0.00000,2
justice,274,1,2.53199,0.00000,2
save,282,1,2.37254,0.00000,2
venezuelans,80,1,2.27547,0.00000,2
th anniversary,138,1,2.17086,0.00000,2
shooting,1617,81,196.19331,0.06028,3
ice,1688,50,121.31109,0.02146,3
minneapolis,805,48,105.04988,0.01573,3
killed,1338,41,97.17026,0.02797,3
police,1277,34,88.19272,0.01660,3
suspect,497,29,78.68532,0.01361,3
deadly,1020,32,77.11410,0.01543,3
minnesota,658,26,71.79340,0.00681,3
dead,966,25,69.55749,0.00962,3
protest,1428,25,64.23858,0.00991,3
crash,544,17,62.44949,0.00246,3
man,667,20,61.12427,0.00706,3
plane,425,15,54.68701,0.00184,3
border,648,16,51.75212,0.00308,3
school,473,14,51.55416,0.00770,3
shot,433,16,50.41767,0.00251,3
air,952,16,49.46643,0.00308,3
protests,931,20,47.82666,0.01488,3
agents,377,16,45.05147,0.00073,3
arrest,418,12,44.69608,0.00368,3
agent,285,12,42.69344,0.00051,3
center,502,11,40.05280,0.00165,3
airport,490,14,39.95351,0.00266,3
protesters,623,13,38.07591,0.00213,3
outside,414,12,33.03587,0.00464,3
thousands,531,10,32.93309,0.00455,3
arrested,396,9,31.57807,0.00179,3
cargo,153,7,30.50941,0.00055,3
injured,364,9,30.17779,0.00023,3
tom,164,8,29.49846,0.00360,3
fatally,95,7,28.41424,0.00000,3
officer,273,10,26.70139,0.00035,3
woman,417,9,26.67540,0.00032,3
laguardia,110,7,26.44838,0.00010,3
tom homan,81,6,25.89627,0.00006,3
