genre,titles,creator,group,style_cluster,style_cluster_k_groups
streams,all,@judgingfreedom,left,8,2
streams,all,@lizwheeler,right,5,2
streams,all,@marclamonthillnetwork,left,1,2
streams,all,@markets,neutral,1,2
streams,all,@msnow,left,0,1
streams,all,@nypost,right,1,2
streams,all,@oann,right,0,1
streams,all,@rolandsmartin,left,1,2
streams,all,@thehill,neutral,9,1
streams,all,@thejimmydoreshow,neutral,7,0
streams,all,@thewarningwithsteveschmidt,left,8,2
streams,all,@timesofindia,left,10,0
streams,all,@underthedesknews,left,1,2
streams,political,@ABCNews,neutral,2,2
streams,political,@ANINewsIndia,neutral,2,2
streams,political,@AfterPartyEmily,right,0,0
streams,political,@AssociatedPress,neutral,2,2
streams,political,@BreakThroughNews,left,0,0
streams,political,@CBSNews,neutral,4,1
streams,political,@CNN,left,4,1
streams,political,@CamHigby,right,3,1
streams,political,@ChadPrather1,right,5,1
streams,political,@DannyHaiphongYT,left,0,0
streams,political,@DueDissidence,left,0,0
streams,political,@FarronBalanced,left,3,1
streams,political,@Firstpost,neutral,0,0
streams,political,@FoxNews,right,4,1
streams,political,@FreshFitMiami,right,1,0
streams,political,@JacksonHinkleOfficial,neutral,2,2
streams,political,@JamarlThomas,left,0,0
streams,political,@JustPearlyThings,right,5,1
streams,political,@LIVESNEAKO,neutral,3,1
streams,political,@LukeBeasley,left,2,2
streams,political,@MLChristiansen,right,3,1
streams,political,@MeidasTouch,left,2,2
streams,political,@ModernDayDebate,left,3,1
streams,political,@MyronGainesX,right,1,0
streams,political,@NBCNews,neutral,2,2
streams,political,@NewsNation,neutral,5,1
streams,political,@NewsmaxTV,right,3,1
streams,political,@NickCruseRBN,left,0,0
streams,political,@OwenReport,left,3,1
streams,political,@PBDPodcast,right,3,1
streams,political,@PTLRadioShow,left,4,1
streams,political,@PhillipScottPodcast,right,1,0
streams,political,@RSBN,right,3,1
streams,political,@RealAmericasVoice,right,6,0
streams,political,@RebelNewsOnline,right,4,1
streams,political,@RedactedNews,right,1,0
streams,political,@RekietaLaw,right,1,0
streams,political,@Reuters,neutral,2,2
streams,political,@RobertGouveiaEsq,right,8,0
streams,political,@RubinReport,right,8,0
streams,political,@SabbySabs,left,6,0
streams,political,@SkyNews,left,4,1
streams,political,@StatusCoup,left,2,2
streams,political,@TheDamageReport,left,0,0
streams,political,@TheDonLemonShow,left,3,1
streams,political,@TheJoyReidShow,left,3,1
streams,political,@TheMajorityReport,left,3,1
streams,political,@TheOfficerTatum,right,2,2
streams,political,@ThePodcastoftheLotusEaters,right,3,1
streams,political,@TheSerfTimes,left,0,0
streams,political,@TheYoungTurks,left,3,1
streams,political,@TimcastIRL,right,6,0
streams,political,@TimesNowWorld,neutral,0,0
streams,political,@USATODAY,neutral,4,1
streams,political,@Xanderhal,left,6,0
streams,political,@bennyjohnson,right,8,0
streams,political,@bulwarkmedia,left,3,1
streams,political,@chicksonright,right,0,0
streams,political,@deanwithrs,left,8,0
streams,political,@franifio,left,3,1
streams,political,@glennbeck,right,5,1
streams,political,@jimacosta,left,1,0
streams,political,@jlptalk,right,7,0
streams,political,@judgingfreedom,left,3,1
streams,political,@lizwheeler,right,3,1
streams,political,@marclamonthillnetwork,left,3,1
streams,political,@markets,neutral,3,1
streams,political,@msnow,left,2,2
streams,political,@nypost,right,3,1
streams,political,@oann,right,2,2
streams,political,@rolandsmartin,left,3,1
streams,political,@thehill,neutral,4,1
streams,political,@thejimmydoreshow,neutral,0,0
streams,political,@thewarningwithsteveschmidt,left,3,1
streams,political,@timesofindia,left,1,0
streams,political,@underthedesknews,left,3,1
